BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
CULT,Gym Belt Fitness Supports,Rs. 1599,Rs. 959,0,0,Toys,Kids
Speedo,Bubble Acitve Swimming Cap,0,0,4.2,120,Toys,Kids
FEELHIGH,Kids Vinyl Face Labubu Toys,Rs. 999,Rs. 599,0,0,Toys,Kids
LITTLE GINNIE,Cotton Soft Toy Soft Toys and Dolls,Rs. 999,Rs. 555,4.6,48,Toys,Kids
URBAN TERRAIN,UT2000 Mountain Bicycle,Rs. 49990,Rs. 9998,0,0,Toys,Kids
BAESD,Kids Non-Allergic Dog Soft Toy,0,0,0,0,Toys,Kids
TOMKOT,Soft Toys and Dolls,Rs. 2000,Rs. 900,0,0,Toys,Kids
URBAN TERRAIN,UT5000S27.5 Mountain Bicycle,Rs. 20000,Rs. 6400,0,0,Toys,Kids
MiArcus,Kids Elephant Soft Toy,Rs. 999,Rs. 844,4.6,14,Toys,Kids
AN TEDDY,Polyfill Soft Toy Soft Toys and Dolls,Rs. 999,Rs. 849,0,0,Toys,Kids
Speedo,Unisex Long Hair Swimcap,0,0,4.1,9,Toys,Kids
BESTIES,Non-Allergic Soft Toy Soft Toys and Dolls,Rs. 1299,Rs. 540,4.5,13,Toys,Kids
LITTLE GINNIE,Kids Giraffe Soft Toys & Dolls,Rs. 999,Rs. 555,4.6,11,Toys,Kids
Speedo,Unisex Flat Silicone Swim Cap,0,0,0,0,Toys,Kids
MiArcus,Kids Bella Soft Toy,Rs. 2499,Rs. 1455,4.7,45,Toys,Kids
AN TEDDY,Teddy Bears Soft Toys & Dolls,Rs. 1499,Rs. 1049,0,0,Toys,Kids
Speedo,Unisex Silicon Moulded Cap,0,0,4.5,25,Toys,Kids
MiArcus,Kids Mino Cloud Soft Toy,Rs. 499,Rs. 429,4.8,27,Toys,Kids
MiArcus,Kids Solid Mia Soft Toy,Rs. 999,Rs. 449,4.3,10,Toys,Kids
Speedo,Unisex Printed Swim Cap,0,0,0,0,Toys,Kids
Pluchi,Kids Bunny Cotton Soft Toy,Rs. 599,Rs. 587,4.6,46,Toys,Kids
MiArcus,Infants Pink Sophie Soft Toy,Rs. 599,Rs. 534,4.4,144,Toys,Kids
URBAN TERRAIN,Bolt Ultra Mountain Bicycle,Rs. 25000,Rs. 8500,2.5,8,Toys,Kids
DearJoy,Unisex Kids Elephant Pillow,Rs. 1000,Rs. 649,4.7,176,Toys,Kids
DearJoy,Soft Toy Soft Toys and Dolls,Rs. 1000,Rs. 399,0,0,Toys,Kids
Speedo,Unisex Flat Silicone Swim Cap,0,0,4.4,7,Toys,Kids
DukieKooky,Kids Penguin Soft Toy,Rs. 499,Rs. 399,4.7,38,Toys,Kids
MiArcus,Kids Peanuts Snoopy Soft Toy,Rs. 699,Rs. 300,4.4,47,Toys,Kids
Speedo,Bubble Active Swimming Cap,0,0,4.5,25,Toys,Kids
MiArcus,Kids Zophie Soft Toy,Rs. 599,Rs. 534,4.6,21,Toys,Kids
TOMKOT,Labubu Monster Keychain,Rs. 2000,Rs. 900,4.2,6,Toys,Kids
Speedo,Slogan Print Cap,0,0,0,0,Toys,Kids
AN TEDDY,Polyfill Core Soft Toy,Rs. 2499,Rs. 1374,4.1,8,Toys,Kids
DearJoy,Rabbit In Strawberry Soft Toy,Rs. 1000,Rs. 599,4.5,140,Toys,Kids
Speedo,Unisex Printed Swim Cap,0,0,5,9,Toys,Kids
DearJoy,Kids Elephant & Monkey Soft Toy,Rs. 1000,Rs. 549,4.4,352,Toys,Kids
DukieKooky,Kids Cow Soft Toys,Rs. 799,Rs. 447,4.5,26,Toys,Kids
URBAN TERRAIN,Bolt Pro Mountain Bicycle,Rs. 20000,Rs. 6400,0,0,Toys,Kids
DearJoy,Kids Animal Elephant Soft Toy,Rs. 1000,Rs. 649,4.4,18,Toys,Kids
Teddy Daddy,Toy Soft Toys and Dolls,0,0,0,0,Toys,Kids
Speedo,Women Long Hair Swim Cap,0,0,4.6,15,Toys,Kids
DearJoy,Elephant Shaped Baby Pillow,Rs. 1000,Rs. 649,4.3,48,Toys,Kids
MiArcus,Kids Stampy Soft Toy,Rs. 799,Rs. 668,4.5,165,Toys,Kids
URBAN TERRAIN,Bolt Ultra Mountain Bicycle,Rs. 25000,Rs. 10000,0,0,Toys,Kids
DukieKooky,Kids Soft Doll,Rs. 1699,Rs. 747,4.5,145,Toys,Kids
AN TEDDY,Teddy Bear Soft Toy,Rs. 2499,Rs. 1374,3,5,Toys,Kids
URBAN TERRAIN,Bolt Pro Mountain Bike,Rs. 20000,Rs. 6400,0,0,Toys,Kids
LITTLE GINNIE,Kids Peas In The Pods Soft Toy,Rs. 1600,Rs. 499,0,0,Toys,Kids
Xivir,Microfibre Filled Non-Allergic Soft Toy Soft Toys and Dolls,Rs. 1299,Rs. 519,3.7,35,Toys,Kids
CULT,Gym Gloves Camo L,0,0,4.6,44,Toys,Kids
