BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Tommy Hilfiger,Boys Colourblocked Polo Collar T-shirt,Rs. 2399,Rs. 1439,0,0,Tshirt,Kids
RARE ONES,Boys Varsity Printed Pockets T-shirt,Rs. 1299,Rs. 1039,4.9,76,Tshirt,Kids
Googo Gaaga,Boys Printed T-shirt,Rs. 1400,Rs. 349,4.3,1k,Tshirt,Kids
Googo Gaaga,Kids Pack of 3 Printed T-shirt,Rs. 1400,Rs. 499,3.6,12,Tshirt,Kids
Tommy Hilfiger,Boys Printed Cotton T-shirt,Rs. 2399,Rs. 1439,5,6,Tshirt,Kids
Nap Chief,Kids Printed Cotton T-shirt,Rs. 790,Rs. 647,4.7,53,Tshirt,Kids
DAMN GUD DG,Unisex Black Tshirts,Rs. 1000,Rs. 499,0,0,Tshirt,Kids
RARE ONES,Boys Solid T-shirt,Rs. 999,Rs. 799,0,0,Tshirt,Kids
DAMN GUD DG,Cotton Tshirts,Rs. 1000,Rs. 499,2.9,7,Tshirt,Kids
Googo Gaaga,Kids Pack of 3 Printed T-shirt,Rs. 1400,Rs. 499,4,23,Tshirt,Kids
RARE ONES,Boys Printed T-shirt,Rs. 999,Rs. 699,4.3,18,Tshirt,Kids
H&M,Printed T-shirt,0,0,4.7,225,Tshirt,Kids
United Colors of Benetton,Boys Solid Polo T-shirt,Rs. 999,Rs. 529,4.3,215,Tshirt,Kids
RARE ONES,Boys Printed Oversized T-shirt,Rs. 1499,Rs. 899,4.8,6,Tshirt,Kids
Nap Chief,Harry Potter Sequinned T-shirt,0,0,4.6,408,Tshirt,Kids
HELLCAT,Boys Pack Of 3 Cotton T-shirt,Rs. 3897,Rs. 499,4.1,6.5k,Tshirt,Kids
RARE ONES,Boys Printed Raw Edge Boxy T-shirt,Rs. 2699,Rs. 1619,0,0,Tshirt,Kids
Googo Gaaga,Round Neck Printed T-shirt,Rs. 999,Rs. 249,4.2,2.5k,Tshirt,Kids
DAMN GUD DG,Unisex Black Tshirts,Rs. 1000,Rs. 499,0,0,Tshirt,Kids
RARE ONES,Boys Pockets T-shirt,Rs. 1699,Rs. 1274,0,0,Tshirt,Kids
Marvel by Miss and Chief,Boys Printed Bio Finish T-shirt,Rs. 1499,Rs. 499,3.9,64,Tshirt,Kids
Googo Gaaga,Kids Pack Of 2 Cotton T-shirt,Rs. 1400,Rs. 349,4.6,5,Tshirt,Kids
RARE ONES,Boys Printed T-shirt,Rs. 999,Rs. 699,4.6,23,Tshirt,Kids
United Colors of Benetton,Boys Solid Polo T-shirt,Rs. 999,Rs. 529,4.3,181,Tshirt,Kids
dostitch,Boys Printed Football Jersey,0,0,0,0,Tshirt,Kids
RARE ONES,Boys Printed Boxy T-shirt,Rs. 1499,Rs. 1199,4.7,6,Tshirt,Kids
DAMN GUD DG,Unisex Black Tshirts,Rs. 1000,Rs. 499,0,0,Tshirt,Kids
HELLCAT,Boys Pack Of 2 Cotton T-shirt,Rs. 2598,Rs. 311,3.9,1.4k,Tshirt,Kids
RARE ONES,Boys Printed T-shirt,Rs. 1499,Rs. 1124,0,0,Tshirt,Kids
DAMN GUD DG,Unisex Black Tshirts,Rs. 1000,Rs. 499,0,0,Tshirt,Kids
United Colors of Benetton,Boys Solid Polo T-shirt,Rs. 999,Rs. 529,4.6,287,Tshirt,Kids
RARE ONES,Boys Solid Round Neck T-shirt,Rs. 999,Rs. 799,4.4,21,Tshirt,Kids
YK,Boys Printed Applique T-shirt,Rs. 1299,Rs. 532,2.3,9,Tshirt,Kids
Marks & Spencer,Boys Typography Printed Applique T-shirt,Rs. 999,Rs. 539,0,0,Tshirt,Kids
RARE ONES,Boys Printed Oversized T-shirt,Rs. 1699,Rs. 1359,0,0,Tshirt,Kids
United Colors of Benetton,Boys Solid Polo T-shirt,Rs. 999,Rs. 529,4.6,261,Tshirt,Kids
YUV,Kids Printed Applique T-shirt,Rs. 1799,Rs. 599,4,8,Tshirt,Kids
RARE ONES,Boys Typography Printed Boxy T-shirt,Rs. 1499,Rs. 1199,0,0,Tshirt,Kids
Googo Gaaga,Boys Printed T-shirt,Rs. 1400,Rs. 249,4.4,807,Tshirt,Kids
United Colors of Benetton,Boys Polo Collar T-shirt,Rs. 1299,Rs. 571,4.7,114,Tshirt,Kids
RARE ONES,Boys Round Neck Cotton T-shirt,Rs. 1499,Rs. 1124,0,0,Tshirt,Kids
Googo Gaaga,Round Neck Printed T-shirt,Rs. 999,Rs. 249,4.4,2.3k,Tshirt,Kids
HELLCAT,Boys Pack Of 3 Cotton T-shirt,Rs. 3897,Rs. 499,4,330,Tshirt,Kids
RARE ONES,Boys Printed T-shirt,Rs. 999,Rs. 699,4.4,9,Tshirt,Kids
H&M,Printed T-Shirt,0,0,4.7,103,Tshirt,Kids
United Colors of Benetton,Boys Polo Collar T-Shirt,Rs. 999,Rs. 509,4.6,118,Tshirt,Kids
RARE ONES,Boys Cotton Oversized T-shirt,Rs. 1699,Rs. 1274,0,0,Tshirt,Kids
Marks & Spencer,Boys Pure Cotton T-shirt,Rs. 799,Rs. 503,4.7,24,Tshirt,Kids
KiddoPanti,Kids High Neck Cotton T-shirt,Rs. 599,Rs. 479,4.4,325,Tshirt,Kids
RARE ONES,Boys Printed T-shirt,Rs. 999,Rs. 699,4.8,8,Tshirt,Kids
