BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
JUST LIKE,Kids Analogue Watch,Rs. 1199,Rs. 299,4.5,34,Watch,Kids
Shocknshop,Kids Multi Function Watch,Rs. 1499,Rs. 464,4.4,521,Watch,Kids
SWADESI STUFF,Kids Multi Function Watch,Rs. 2245,Rs. 394,4.5,51,Watch,Kids
Shocknshop,Kids Digital Watch,Rs. 1499,Rs. 419,3.9,27,Watch,Kids
Disney,Kids Digital Automatic Watch,Rs. 499,Rs. 399,4.1,10,Watch,Kids
Shocknshop,Kids LED Analogue Watch,Rs. 1249,Rs. 387,4.5,108,Watch,Kids
JUST LIKE,Unisex Kids Watch,Rs. 1199,Rs. 299,4.2,13,Watch,Kids
Spiky,Unisex Kids Watch,Rs. 599,Rs. 497,4.5,2.5k,Watch,Kids
ZOOP from TITAN,Unisex Kids Analogue Watch,0,0,4.7,218,Watch,Kids
Shocknshop,Kids Dial & Analogue Watch,Rs. 1499,Rs. 464,4.3,437,Watch,Kids
SWADESI STUFF,Kids Automatic Watch,Rs. 1995,Rs. 334,4.4,17,Watch,Kids
Spiky,Kids Automatic Watch,Rs. 999,Rs. 449,3.8,69,Watch,Kids
ZOOP from TITAN,Kids Spiderman Analogue Watch,Rs. 1295,Rs. 1165,4.5,102,Watch,Kids
Spiky,Kids Analogue Watch,Rs. 999,Rs. 399,4.1,98,Watch,Kids
V2A,Kids Multi Function Watch,Rs. 1799,Rs. 890,4.4,152,Watch,Kids
Spiky,Multi Function Analogue Watch,Rs. 599,Rs. 497,4.5,44,Watch,Kids
Spiky,Kids Pack Of 2 Digital Watch,Rs. 1998,Rs. 759,0,0,Watch,Kids
ZOOP from TITAN,Kids Digital Watch,0,0,4.1,8,Watch,Kids
Spiky,Kids Automatic Watch,Rs. 1299,Rs. 844,4.5,12,Watch,Kids
ZOOP from TITAN,Kids Watch Watch,0,0,4.7,56,Watch,Kids
Shocknshop,Unisex Kids Watch,Rs. 1999,Rs. 579,4.4,7,Watch,Kids
SWADESI STUFF,Unisex Kids Multi Function Automatic Watch,Rs. 2245,Rs. 394,4.5,31,Watch,Kids
Spiky,Kids Set Of 2 Analogue Watch,Rs. 3198,Rs. 799,0,0,Watch,Kids
ZOOP from TITAN,Kids Analogue Watch,0,0,4.5,76,Watch,Kids
Shocknshop,Kids Printed Analogue Watch,Rs. 1499,Rs. 464,4.2,264,Watch,Kids
Spiky,Unisex Kids Function Watch,Rs. 599,Rs. 497,4.9,14,Watch,Kids
ZOOP from TITAN,Unisex Kids Watch,Rs. 795,Rs. 715,4.9,11,Watch,Kids
Shocknshop,Kids Multi Function Watch,Rs. 1299,Rs. 363,4,68,Watch,Kids
Spiky,Unisex Kids Multi Function Watch,Rs. 599,Rs. 497,4.4,420,Watch,Kids
V2A,Kids Multi Function Watch,Rs. 1299,Rs. 649,4.1,20,Watch,Kids
ZOOP from TITAN,Kids Analogue Watch,0,0,4.7,19,Watch,Kids
ZOOP from TITAN,Kids Analogue Watch,0,0,4.6,199,Watch,Kids
Spiky,Unisex Kids Watch,Rs. 999,Rs. 399,4.2,62,Watch,Kids
ZOOP from TITAN,Kids Analogue Watch,0,0,4.6,163,Watch,Kids
V2A,Unisex Kids Multi Function Watch,Rs. 1899,Rs. 1090,4.1,82,Watch,Kids
CARLINGTON,Kids Multi Function Watch,Rs. 4999,Rs. 1099,4.4,32,Watch,Kids
Otage,Kids Multi Function Watch,Rs. 1999,Rs. 549,4.6,5,Watch,Kids
SWADESI STUFF,Kids Analogue Automatic Watch,Rs. 1795,Rs. 315,3.8,5,Watch,Kids
Spiky,Kids Light Dial Analogue Watch,Rs. 3198,Rs. 799,0,0,Watch,Kids
V2A,Kids Synthetic Straps Watch,Rs. 1699,Rs. 1090,0,0,Watch,Kids
Spiky,Kids Automatic Watch,Rs. 999,Rs. 449,3.7,38,Watch,Kids
Spiky,Unisex Kids Automatic Watch,Rs. 1299,Rs. 844,4.7,40,Watch,Kids
ZOOP from TITAN,Unisex Zoop watch,0,0,4.5,159,Watch,Kids
Spiky,Kids Pack Of 2 Watch,Rs. 1998,Rs. 659,4.6,39,Watch,Kids
ZOOP from TITAN,Kids Digital Watch,Rs. 1195,Rs. 956,4.6,13,Watch,Kids
Marvel,Unisex Kids Automatic Watch,Rs. 499,Rs. 399,0,0,Watch,Kids
Kool Kidz,Unisex Kids Watch,Rs. 550,Rs. 495,4.1,27,Watch,Kids
SWADESI STUFF,Unisex Kids Multi Function Automatic Watch,Rs. 2245,Rs. 394,3.7,32,Watch,Kids
Spiky,Kids Pack Of 2 Watch,Rs. 1998,Rs. 1098,4.8,13,Watch,Kids
Spiky,Kids Dial & Straps Watch,Rs. 999,Rs. 399,3.9,7,Watch,Kids
