BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Converse,Unisex Chuck Taylor All Star,0,0,4.6,769,Casual Shoe,Men
Converse,Unisex Chuck 70 Sneakers,0,0,4.7,299,Casual Shoe,Men
HRX by Hrithik Roshan,Unisex Back To School Shoes,Rs. 3699,Rs. 999,4.3,1.4k,Casual Shoe,Men
Red Tape,Men Textured Sneakers,Rs. 6999,Rs. 1399,4.2,106,Casual Shoe,Men
GULLY LABS,Men Sneakers,0,0,0,0,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1.6k,Casual Shoe,Men
HRX by Hrithik Roshan,Men Lace-Up Sneakers,Rs. 3699,Rs. 1117,3.9,109,Casual Shoe,Men
ADIDAS Originals,Men Campus 00S Sneakers,Rs. 10999,Rs. 6599,4.3,108,Casual Shoe,Men
Red Tape,Men PU Sneakers,Rs. 6299,Rs. 1133,4.5,504,Casual Shoe,Men
ASIAN,Men Colourblocked Sneakers,Rs. 1499,Rs. 869,3.8,2.5k,Casual Shoe,Men
Tommy Hilfiger,Men Leather Loafers,Rs. 9599,Rs. 7679,4.6,9,Casual Shoe,Men
Red Tape,Men Colourblocked PU Sneakers,Rs. 6299,Rs. 1133,4.5,321,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1k,Casual Shoe,Men
Converse,Unisex Chuck Taylor All Star,0,0,4.7,1.4k,Casual Shoe,Men
Killer,Men Sneakers With Thick Sole,Rs. 2999,Rs. 699,3.8,8,Casual Shoe,Men
Red Tape,Men PU Lace-Ups Sneakers,Rs. 6599,Rs. 1187,4.4,520,Casual Shoe,Men
Tommy Hilfiger,Men Leather SlipOn Espadrilles,Rs. 9599,Rs. 7679,3.8,6,Casual Shoe,Men
Mast & Harbour,Men Round Toe Suede Loafers,Rs. 2499,Rs. 974,4.2,2.9k,Casual Shoe,Men
Red Tape,Men Lace Up High Top Sneakers,Rs. 6699,Rs. 1339,4.4,4.3k,Casual Shoe,Men
Lacoste,Lace Ups Round Toe Sneakers,Rs. 11700,Rs. 7020,4.7,9,Casual Shoe,Men
Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.5,57,Casual Shoe,Men
Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.1,10,Casual Shoe,Men
Tommy Hilfiger,Square Toe Leather Loafers,Rs. 9599,Rs. 7679,4.3,6,Casual Shoe,Men
Red Tape,Men PU Sneakers,Rs. 7099,Rs. 1277,4.3,551,Casual Shoe,Men
Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.6,178,Casual Shoe,Men
U.S. Polo Assn.,Men Classic Sneakers,Rs. 3199,Rs. 1631,4.3,2.2k,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 7299,Rs. 1313,4.5,1.6k,Casual Shoe,Men
Campus,Men PU Sneakers,Rs. 3299,Rs. 1599,4.4,260,Casual Shoe,Men
ADIDAS Originals,Men Samba OG Casual Shoes,0,0,4.4,732,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 7299,Rs. 1313,4.5,451,Casual Shoe,Men
Red Tape,Men Perforations Sneakers,Rs. 6699,Rs. 1339,4.4,4.8k,Casual Shoe,Men
Egoss,Men Leather Loafers,Rs. 7999,Rs. 3999,3.1,14,Casual Shoe,Men
Red Tape,Men Perforations PU Sneakers,Rs. 6699,Rs. 1339,4.3,4.4k,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 7099,Rs. 1277,4.4,2.4k,Casual Shoe,Men
Converse,Unisex Chuck Taylor All Star,0,0,4.6,327,Casual Shoe,Men
Red Tape,Men Colourblocked Sneakers,Rs. 6999,Rs. 1259,4.3,481,Casual Shoe,Men
Red Tape,Men Textured Sneakers,Rs. 6699,Rs. 1205,4.4,392,Casual Shoe,Men
Kenneth Cole,Premium Comfort Leather Shoes,Rs. 6299,Rs. 3149,4,21,Casual Shoe,Men
Red Tape,Men Round Toe Sneakers,Rs. 6399,Rs. 1151,4.4,1k,Casual Shoe,Men
Red Tape,Men Colourblocked PU Sneakers,Rs. 6599,Rs. 1187,4.6,39,Casual Shoe,Men
Lacoste,Round Toe Lace Ups Sneakers,Rs. 11700,Rs. 5850,4.4,18,Casual Shoe,Men
Roadster,Men Lightweight Sneakers,Rs. 3299,Rs. 699,3.8,197,Casual Shoe,Men
Red Tape,Men Sneakers,Rs. 6599,Rs. 1187,4.4,3.2k,Casual Shoe,Men
Converse,Unisex Run Star Hike Sneakers,Rs. 6999,Rs. 6299,4.5,113,Casual Shoe,Men
Red Tape,Men Colourblocked Sneakers,Rs. 6699,Rs. 1205,4.4,5k,Casual Shoe,Men
Flying Machine,Men Joell Sneakers,Rs. 3199,Rs. 1279,4.5,48,Casual Shoe,Men
ADIDAS Originals,Men Leather Campus 00S Sneaker,Rs. 10999,Rs. 6049,4.1,50,Casual Shoe,Men
Bata,Men Mario Horsebit Loafers,Rs. 999,Rs. 689,4.4,61,Casual Shoe,Men
Campus,Men Perforations Sneakers,Rs. 1799,Rs. 999,4.2,1.4k,Casual Shoe,Men
Converse,Unisex Sport Casual,0,0,4.3,9,Casual Shoe,Men
