BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Jompers,Embroidered Cotton Silk Kurta,Rs. 3849,Rs. 769,4,807,Kurta,Men
Anouk,Men Geometric Printed Short Kurta,Rs. 2199,Rs. 725,4.2,3.5k,Kurta,Men
VASTRAMAY,Men Geometric Printed Kurta,Rs. 1999,Rs. 1399,0,0,Kurta,Men
Jompers,Men Embroidered Kurta,Rs. 2799,Rs. 699,4.2,2.1k,Kurta,Men
Anouk,Men Striped Straight Kurta,Rs. 2299,Rs. 666,4.3,1.5k,Kurta,Men
VASTRAMAY,Men Kurta,Rs. 2399,Rs. 1679,0,0,Kurta,Men
Anouk,Men Pure Cotton Kurta,Rs. 1999,Rs. 659,3.9,923,Kurta,Men
Jompers,Embroidered Cotton Silk Kurta,Rs. 3849,Rs. 769,4,821,Kurta,Men
VASTRAMAY,Men Geometric Kurta,Rs. 2399,Rs. 1679,0,0,Kurta,Men
Anouk,Men Ethnic Motifs Printed Kurta,Rs. 2099,Rs. 755,4.2,1.5k,Kurta,Men
HERE&NOW,Men Short Kurta,Rs. 1899,Rs. 721,4.4,3.9k,Kurta,Men
VASTRAMAY,Men Yoke Design Kurta,Rs. 2199,Rs. 1539,0,0,Kurta,Men
House of Pataudi,Embellished Straight Kurta,Rs. 3099,Rs. 999,4,36,Kurta,Men
Anouk,Geometric Sequinned Kurta,Rs. 3599,Rs. 971,4.3,777,Kurta,Men
Anouk,Striped Cotton Straight Kurta,Rs. 2599,Rs. 857,3.7,22,Kurta,Men
Jompers,Chikankari Sequined Kurta,Rs. 5699,Rs. 911,4.3,1.3k,Kurta,Men
FILORI STUDIO,Pure Cotton Printed Kurta,Rs. 2599,Rs. 961,3.3,55,Kurta,Men
House of Pataudi,Embroidered Rozana Kurta,Rs. 2499,Rs. 1249,0,0,Kurta,Men
Sangria,Men Solid Straight Kurta,Rs. 7549,Rs. 981,4,134,Kurta,Men
Jompers,Men Embroidered Kurta,Rs. 2799,Rs. 699,4.1,1.2k,Kurta,Men
Anouk Rustic,Floral Printed Straight Kurta,Rs. 2199,Rs. 747,0,0,Kurta,Men
HERE&NOW,Striped Printed Cotton Short Kurta,Rs. 1899,Rs. 759,4.4,1.2k,Kurta,Men
Diwas by Manyavar,Printed Mandarin Collar Kurta,0,0,4.6,61,Kurta,Men
VASTRAMAY,Men Quirky Printed Kurta,Rs. 1799,Rs. 1259,0,0,Kurta,Men
HERE&NOW,Men Embroidered Kurta,Rs. 3999,Rs. 959,4.3,2.5k,Kurta,Men
Anouk,Men Striped Short Kurta,Rs. 1999,Rs. 639,4.3,1.6k,Kurta,Men
Jompers,Men Ethnic Motifs Cotton Kurta,Rs. 2599,Rs. 727,3.8,1.2k,Kurta,Men
Jompers,Men Floral Printed Kurta,Rs. 2699,Rs. 620,3.8,298,Kurta,Men
Anouk,Men Geometric Printed Short Kurta,Rs. 1999,Rs. 639,4.3,328,Kurta,Men
House of Pataudi,Pure Cotton Jashn Kurta,Rs. 3299,Rs. 1352,0,0,Kurta,Men
Jompers,Embroidered Straight Kurta,Rs. 3950,Rs. 790,4.2,3.6k,Kurta,Men
HERE&NOW,Men Embroidered Kurta,Rs. 3999,Rs. 879,4.4,3.5k,Kurta,Men
Jompers,Men Floral Embroidered Kurta,Rs. 7449,Rs. 1638,3.9,19,Kurta,Men
CHARLOTTE GRACIOUS,Men Floral Printed Kurta,Rs. 3999,Rs. 749,3.5,36,Kurta,Men
Anouk,Men Printed Short Kurta,Rs. 2199,Rs. 747,4.1,633,Kurta,Men
VASTRAMAY,Men Floral Printed Kurta,Rs. 1999,Rs. 1399,0,0,Kurta,Men
Anouk,Men Ethnic Motifs Printed Short Kurta,Rs. 2199,Rs. 637,4.2,2.9k,Kurta,Men
Anouk,Floral Printed Straight Kurta,Rs. 2799,Rs. 979,4.1,242,Kurta,Men
VASTRAMAY,Men Striped Kurta,Rs. 2199,Rs. 1539,0,0,Kurta,Men
House of Pataudi,Embroidered Sequins Kurta,Rs. 2999,Rs. 899,4.3,347,Kurta,Men
Anouk,Men Ethnic Motifs Printed Kurta,Rs. 1499,Rs. 644,4.1,880,Kurta,Men
Jompers,Embroidered Straight Kurta,Rs. 9399,Rs. 2819,3.6,7,Kurta,Men
Jompers,Men Geometric Embroidered Kurta,Rs. 3699,Rs. 739,4.2,79,Kurta,Men
Anouk,Men Geometric Printed Short Kurta,Rs. 2199,Rs. 659,4.3,2k,Kurta,Men
VASTRAMAY,Plus Size Printed Kurta,Rs. 1999,Rs. 1399,0,0,Kurta,Men
HERE&NOW,Striped Cotton Short Kurta,Rs. 1899,Rs. 759,4,813,Kurta,Men
Jompers,Printed Ombre Straight Kurta,Rs. 2699,Rs. 620,4,204,Kurta,Men
VASTRAMAY,Yoke Design Straight Kurta,Rs. 2699,Rs. 1376,4.2,149,Kurta,Men
Anouk,Men Striped Kurta,Rs. 1899,Rs. 493,4.2,569,Kurta,Men
HERE&NOW,Men Liva Kurta,Rs. 3999,Rs. 999,4.1,451,Kurta,Men
