BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Titan,Elixir 1.19 AMOLED Smartwatch,0,0,4.9,7,Smart Watch,Unisex
Titan,,Rs. 12995,Rs. 12495,0,0,Smart Watch,Unisex
CMF by Nothing,"Watch pro 2 with 1.32"" AMOLED",Rs. 5999,Rs. 4999,4.5,1.1k,Smart Watch,Unisex
Boult,Thrux HD Smartwatch,Rs. 7999,Rs. 2199,4,206,Smart Watch,Unisex
Titan,Celestor AMOLED Smartwatch,Rs. 9995,Rs. 8199,5,5,Smart Watch,Unisex
Boult,Thrux HD Smartwatch,Rs. 7999,Rs. 2199,3.9,141,Smart Watch,Unisex
Boult,"Rover Pro 1.43"" Smart Watch",Rs. 10999,Rs. 1999,4,235,Smart Watch,Unisex
Titan,Elixir 1.19 AMOLED Smartwatch,Rs. 13995,Rs. 12499,0,0,Smart Watch,Unisex
CMF by Nothing,"Watch pro 2 with 1.32"" AMOLED",Rs. 5999,Rs. 4999,4.5,445,Smart Watch,Unisex
Fastrack,FS1 Pro With BT Calling Watch,Rs. 7995,Rs. 2995,4.3,76,Smart Watch,Unisex
Titan,Valerie 1.19 AMOLED Smartwatch,Rs. 11495,Rs. 8999,4.6,8,Smart Watch,Unisex
CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.3,2.1k,Smart Watch,Unisex
Boult,Crown R Pro Health Tracker,Rs. 6999,Rs. 2399,4.2,149,Smart Watch,Unisex
Titan,Valerie 1.19 AMOLED Smartwatch,0,0,0,0,Smart Watch,Unisex
Boult,Rover Pro 1.43 SmartWatch,Rs. 9999,Rs. 1999,3.9,103,Smart Watch,Unisex
NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,3,12,Smart Watch,Unisex
Titan,Celestor AMOLED Smartwatch,0,0,0,0,Smart Watch,Unisex
Boult,Mirage Smart Watch,Rs. 4999,Rs. 1799,3.6,29,Smart Watch,Unisex
NOISE,Evolve 3 Smartwatch,Rs. 6999,Rs. 2199,4.2,535,Smart Watch,Unisex
Titan,Smart 3 BT Calling SmartWatch,Rs. 11995,Rs. 4999,4.2,26,Smart Watch,Unisex
NOISE,Evolve 3 Smartwatch,Rs. 6999,Rs. 2199,4.1,379,Smart Watch,Unisex
NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,4.4,16,Smart Watch,Unisex
Titan,"Evolution 1.85"" Smartwatch",0,0,0,0,Smart Watch,Unisex
Boult,Pyro Smartwatch,Rs. 7999,Rs. 2499,3.8,32,Smart Watch,Unisex
Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1799,4.1,65,Smart Watch,Unisex
Titan,Maestro 1.43 AMOLED Smartwatch,0,0,0,0,Smart Watch,Unisex
NOISE,ColorFit Ultra 3 Smartwatch,Rs. 8999,Rs. 2999,4.5,60,Smart Watch,Unisex
Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1799,4.3,59,Smart Watch,Unisex
Fastrack,Marvellous FX2 Smartwatch,Rs. 9995,Rs. 6499,0,0,Smart Watch,Unisex
NOISE,ColorFit Pro 4 Smart Watch,Rs. 7999,Rs. 1799,4.6,11,Smart Watch,Unisex
NOISE,Pulse 4 Max Smartwatch,Rs. 6999,Rs. 1899,4.5,6,Smart Watch,Unisex
Titan,Heritage AMOLED Smartwatch,0,0,0,0,Smart Watch,Unisex
NOISE,ColorFit Icon 4 Smartwatch,Rs. 6999,Rs. 2199,4.1,224,Smart Watch,Unisex
Timex,Unisex Smartwatch,Rs. 7495,Rs. 3747,3.5,15,Smart Watch,Unisex
Titan,Smart 3 AMOLED Smartwatch,Rs. 11995,Rs. 4999,0,0,Smart Watch,Unisex
Timex,Iconnect EVO+ Smartwatch,Rs. 5495,Rs. 2747,4.3,58,Smart Watch,Unisex
NOISE,1.1AMOLED Display Smart Watch,Rs. 5999,Rs. 2299,3,13,Smart Watch,Unisex
Titan,"Evolution 1.85"" Smartwatch",0,0,0,0,Smart Watch,Unisex
NOISE,ColorFit Pro 5 Max Smartwatch,Rs. 9999,Rs. 3999,4.3,80,Smart Watch,Unisex
CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.4,676,Smart Watch,Unisex
Titan,Maestro 1.43 AMOLED Smartwatch,Rs. 14495,Rs. 12495,0,0,Smart Watch,Unisex
Boult,Crown R Pro Health Tracker,Rs. 6999,Rs. 2399,4.2,92,Smart Watch,Unisex
Fastrack,FS1 Pro With BT Calling Watch,Rs. 7995,Rs. 2995,4.4,123,Smart Watch,Unisex
Boult,Dire Smart Watch,Rs. 4999,Rs. 1499,4.3,67,Smart Watch,Unisex
Boult,"Trail Pro 2.01"" 3D Smart Watch",Rs. 6999,Rs. 1599,4.3,32,Smart Watch,Unisex
NOISE,Unisex Halo 2 Smartwatch,Rs. 6999,Rs. 4899,4.5,13,Smart Watch,Unisex
Fastrack,Styler FS1 Pro Smartwatch,Rs. 4999,Rs. 2499,4.4,17,Smart Watch,Unisex
Fire-Boltt,Crusader Amoled 1.43BT Calling,Rs. 18999,Rs. 2799,4.4,514,Smart Watch,Unisex
CMF by Nothing,Watch Pro with 1.96 AMOLED,Rs. 5999,Rs. 4499,4.3,271,Smart Watch,Unisex
Titan,"Evolution 1.85"" Smartwatch",0,0,0,0,Smart Watch,Unisex
