BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
BROWN BEAR,Leather Two Fold Wallet,Rs. 2390,Rs. 2151,4.3,60,Wallet,Men
Calvin Klein,Men Leather Two Fold Wallet,0,0,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Lacoste,Abstract PU Card Holder,Rs. 6650,Rs. 3990,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Teakwood Leathers,Solid Zip Around Wallet,Rs. 1999,Rs. 599,4.3,1.7k,Wallet,Men
AQUATAN,Men Wallets,Rs. 1999,Rs. 1799,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 3999,Rs. 1699,0,0,Wallet,Men
Allen Solly,Men Leather Zip Around Wallet,Rs. 1599,Rs. 639,4.5,228,Wallet,Men
Teakwood Leathers,Men Solid Brown Leather Wallet,Rs. 2375,Rs. 712,4.4,581,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,4.9,9,Wallet,Men
WATCHSTAR,Zip Detail Leather Card Holder,Rs. 1999,Rs. 275,3.6,159,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 674,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
WildHorn,Men Leather Two Fold Wallet,Rs. 2699,Rs. 296,4.2,659,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Peter England,Men Leather Fashion Wallets,0,0,0,0,Wallet,Men
WildHorn,Leather Two Fold Wallet,Rs. 1999,Rs. 479,4.4,1.8k,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,0,0,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
WildHorn,Men Leather Two Fold Wallet,Rs. 2699,Rs. 296,4.3,681,Wallet,Men
Hayes London,Men Pack of 2 Wallets Genuine Leather,Rs. 2999,Rs. 1169,0,0,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 674,4.3,11,Wallet,Men
Allen Solly,Leather Two Fold Wallet,Rs. 1299,Rs. 519,4.8,6,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 554,3.1,7,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
Hidesign,Men Leather Two Fold Wallet,0,0,4.8,42,Wallet,Men
GBK,Men Leather Wallets,Rs. 3549,Rs. 1064,0,0,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,0,0,Wallet,Men
Mochi,Leather Two Fold Wallet,Rs. 1090,Rs. 719,4.4,49,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 554,0,0,Wallet,Men
CONTACTS,Men Leather Wallets,Rs. 2499,Rs. 1074,3.9,27,Wallet,Men
Louis Philippe,Men Solid Two Fold Wallet,Rs. 2299,Rs. 1149,4.4,673,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 674,3.9,7,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
WildHorn,Leather Two Fold Wallet,Rs. 1999,Rs. 299,4.5,430,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 1499,Rs. 674,3.2,6,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,4.6,13,Wallet,Men
Allen Solly,Men Leather Two Fold Wallet,Rs. 1499,Rs. 599,0,0,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,0,0,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,4.3,11,Wallet,Men
Hidesign,Men Two Fold Leather Wallet,0,0,4.7,30,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,0,0,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,0,0,Wallet,Men
Louis Philippe,Men Leather Two Fold Wallet,Rs. 1799,Rs. 989,4.4,2k,Wallet,Men
Hayes London,Men Wallets Genuine Leather,Rs. 2999,Rs. 959,4.6,12,Wallet,Men
Steve Jhonson,Men Wallets,Rs. 1999,Rs. 1499,0,0,Wallet,Men
WildHorn,Leather Two Fold Wallet,Rs. 1999,Rs. 299,4.3,195,Wallet,Men
