,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender,UserSatisfactionLevel
0,Aretto,Kids Anti-Skid Shoes, 2899, 2609,4.5,232,Footwear,Kids,Great Product
1,Aretto,Kids Anti-Skid Slip-On Shoes, 2699, 2645,4.7,111,Footwear,Kids,Excellent
2,Crazyly,Boys Velcro Sneakers, 1799, 449,4.8,17,Footwear,Kids,Excellent
3,BAESD,Flatform Heel Pumps, 2499, 774,4.1,163,Footwear,Kids,Great Product
4,Aretto,Kids Expanding Anti-Skid Shoes, 2699, 2564,4.7,264,Footwear,Kids,Excellent
5,Star Fish,Unisex Kids Cotton Booties, 999, 319,4.3,0,Footwear,Kids,Great Product
6,Shoetopia,Girls Open Toe Flats, 1999, 799,4.4,26,Footwear,Kids,Great Product
7,Aretto,Kids Anti-Skid Slip-On Shoes, 3199, 2815,4.6,232,Footwear,Kids,Excellent
8,BAESD,Kids Colourblocked Sneakers, 2000, 400,4.3,984,Footwear,Kids,Great Product
9,KazarMax,Kids Anti-Skid School Sneakers, 2199, 1099,4.4,164,Footwear,Kids,Great Product
10,Puma,Boys Courtflex V2 Sneakers, 3299, 1484,4.6,189,Footwear,Kids,Excellent
11,Crazyly,Boys Velcro Sneakers, 1799, 449,4.7,55,Footwear,Kids,Excellent
12,BIRDE,Kids Printed LED Sneakers, 1499, 499,3.7,6,Footwear,Kids,Good Choice
13,Aretto,Kids Anti-Skid Slip-On Shoes, 2999, 2939,4.5,54,Footwear,Kids,Great Product
14,FEETWELL SHOES,Kids Colourblocked Sneakers, 2000, 380,4.4,322,Footwear,Kids,Great Product
15,Liberty,Kids Velcro School Shoes, 799, 575,4.3,1400,Footwear,Kids,Great Product
16,Aretto,Kids Slip On Sneakers, 2999, 2939,4.8,60,Footwear,Kids,Excellent
17,Koburg,Unisex Kids Rubber Sliders, 2444, 499,4.0,242,Footwear,Kids,Good Choice
18,BAESD,Kids Printed LED Sneakers, 2999, 629,4.2,1300,Footwear,Kids,Great Product
19,Aretto,Kids Colourblocked Sneakers,0,0,4.3,0,Footwear,Kids,Great Product
20,Liberty,Kids ALEX Printed Clogs, 899, 323,4.5,1300,Footwear,Kids,Great Product
21,HOOH Now Comfort in Fashion,Kids Lightweight Sneakers, 999, 499,4.3,206,Footwear,Kids,Great Product
22,Crocs,Girls Fisherman Sandals, 3995, 2556,4.6,26,Footwear,Kids,Excellent
23,ONYC,Unisex Kids PU Sneakers, 1299, 766,4.6,43,Footwear,Kids,Excellent
24,BAESD,Girls Embellished Wedges, 1299, 545,4.2,267,Footwear,Kids,Great Product
25,Aretto,Kids Slip On Sneakers, 3399, 3331,4.6,20,Footwear,Kids,Excellent
26,KATS,Kids Musical Sports Sandals, 699, 447,4.7,36,Footwear,Kids,Excellent
27,DOCTOR EXTRA SOFT,Kids Self Design Clogs, 1799, 498,4.8,16,Footwear,Kids,Excellent
28,Aretto,Kids Sunny Splash Sneakers,0,0,4.3,0,Footwear,Kids,Great Product
29,Liberty,Kids Printed Clogs, 799, 271,4.2,47,Footwear,Kids,Great Product
30,LMG Lifestyle,Kids Colourblocked Sneakers, 3199, 799,3.4,5,Footwear,Kids,Average
31,Aretto,Kids Colourblocked Sneakers,0,0,4.7,18,Footwear,Kids,Excellent
32,HOOH Now Comfort in Fashion,Kids Perforations Sneakers, 999, 499,4.3,175,Footwear,Kids,Great Product
33,ONYC,Unisex Kids Woven Design Slip-On Sneakers, 899, 530,3.9,55,Footwear,Kids,Good Choice
34,Crocs,Kids Bayaband Solid Clogs, 4495, 2697,4.6,628,Footwear,Kids,Excellent
35,HOOH Now Comfort in Fashion,Kids Striped Slip-On Sneakers, 599, 299,3.1,93,Footwear,Kids,Average
36,ONYC,Unisex Kids Fashion, 899, 476,4.7,63,Footwear,Kids,Excellent
37,Nike,Air Force 1 Older Kids' Shoes,0,0,4.3,0,Footwear,Kids,Great Product
38,ASIAN,Unisex Kids Slip-On, 399, 367,4.3,14,Footwear,Kids,Great Product
39,Baby Moo,Infants Knitted Booties, 799, 647,4.6,54,Footwear,Kids,Excellent
40,Aretto,Kids Colourblocked Sneakers,0,0,4.3,0,Footwear,Kids,Great Product
41,HOOH Now Comfort in Fashion,Kids Printed Sneakers, 999, 499,4.1,124,Footwear,Kids,Great Product
42,Fame Forever by Lifestyle,Girls Printed Sneakers, 1299, 1169,4.3,0,Footwear,Kids,Great Product
43,Crocs,Unisex Kids Solid Clogs, 4495, 2697,4.7,388,Footwear,Kids,Excellent
44,Liberty,Kids Lightweight Sneakers, 2199, 549,4.1,103,Footwear,Kids,Great Product
45,Star Fish,Unisex Kids Cotton Booties, 999, 329,4.3,0,Footwear,Kids,Great Product
46,Crocs,Kids Bayaband Clogs, 4495, 2697,4.5,825,Footwear,Kids,Great Product
47,ONYC,Unisex Kids Woven Design Slip-On Sneakers, 899, 530,4.4,42,Footwear,Kids,Great Product
48,Dhairya Collection,Baby Booties, 799, 349,4.3,0,Footwear,Kids,Great Product
49,Crocs,Kids Solid Clogs, 2995, 2246,4.6,239,Footwear,Kids,Excellent
50,CULT,Gym Belt Fitness Supports, 1599, 959,4.3,0,Toys,Kids,Great Product
51,Speedo,Bubble Acitve Swimming Cap,0,0,4.2,120,Toys,Kids,Great Product
52,FEELHIGH,Kids Vinyl Face Labubu Toys, 999, 599,4.3,0,Toys,Kids,Great Product
53,LITTLE GINNIE,Cotton Soft Toy Soft Toys and Dolls, 999, 555,4.6,48,Toys,Kids,Excellent
54,URBAN TERRAIN,UT2000 Mountain Bicycle, 49990, 9998,4.3,0,Toys,Kids,Great Product
55,BAESD,Kids Non-Allergic Dog Soft Toy,0,0,4.3,0,Toys,Kids,Great Product
56,TOMKOT,Soft Toys and Dolls, 2000, 900,4.3,0,Toys,Kids,Great Product
57,URBAN TERRAIN,UT5000S27.5 Mountain Bicycle, 20000, 6400,4.3,0,Toys,Kids,Great Product
58,MiArcus,Kids Elephant Soft Toy, 999, 844,4.6,14,Toys,Kids,Excellent
59,AN TEDDY,Polyfill Soft Toy Soft Toys and Dolls, 999, 849,4.3,0,Toys,Kids,Great Product
60,Speedo,Unisex Long Hair Swimcap,0,0,4.1,9,Toys,Kids,Great Product
61,BESTIES,Non-Allergic Soft Toy Soft Toys and Dolls, 1299, 540,4.5,13,Toys,Kids,Great Product
