,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
0,JBL,GO3 ECO Bluetooth Speaker,Rs. 4499,Rs. 2499,4.6,33,Speaker,General
1,BOULT AUDIO,Bassbox Q5 Bluetooth Speaker,Rs. 2999,Rs. 999,4.1,60,Speaker,General
2,Portronics,Beats III 200W Party Speaker,Rs. 12999,Rs. 8499,4,11,Speaker,General
3,Portronics,Dual Wireless Microphone,Rs. 2999,Rs. 2199,2.6,13,Speaker,General
4,JBL,GO4 Ultra-Portable Speakers,Rs. 5499,Rs. 3999,4.7,44,Speaker,General
5,JBL,Charge 5 Wifi & BT Speaker,Rs. 26999,Rs. 17999,3.8,11,Speaker,General
6,Saregama,Digital Music Player,Rs. 7690,Rs. 7490,4.4,33,Speaker,General
7,JBL,Clip 4 Portable BT Speaker,Rs. 5499,Rs. 3999,4.9,42,Speaker,General
8,JBL,Flip 5 Portable Speaker,Rs. 11999,Rs. 7999,4.8,13,Speaker,General
9,Portronics,Iron Beats Wireless Speaker,Rs. 29999,Rs. 14999,4.2,5,Speaker,General
10,JBL,GO4 Ultra-Portable Speakers,Rs. 5499,Rs. 3999,4.5,13,Speaker,General
11,BOSE,SoundLink Revolve+ 2 Speaker,0,0,0,0,Speaker,General
12,Saregama,Premium Portable Music Player,Rs. 8190,Rs. 7990,4.3,44,Speaker,General
13,JBL,Clip 4 Portable BT Speaker,Rs. 5499,Rs. 3999,4.4,34,Speaker,General
14,Portronics,Pure Sound 108 Soundbar,Rs. 14999,Rs. 4999,0,0,Speaker,General
15,Portronics,Bluetooth Soundbar Speaker,Rs. 1999,Rs. 899,4,367,Speaker,General
16,Portronics,Portable Bluetooth Speaker,Rs. 3999,Rs. 2599,4,74,Speaker,General
17,Portronics,Wireless Bluetooth Speaker,Rs. 9999,Rs. 5999,4.5,19,Speaker,General
18,HAMMER,5W Bluetooth Speaker,Rs. 3499,Rs. 699,4.1,206,Speaker,General
19,boAt,Aavante Bar Theme,Rs. 22990,Rs. 8999,0,0,Speaker,General
20,Portronics,Apollo One 20W Speaker,Rs. 2499,Rs. 1449,4,54,Speaker,General
21,boAt,Stone 358 Type C Speaker,Rs. 3490,Rs. 1799,4.5,15,Speaker,General
22,Portronics,20W Portable Bluetooth Speaker,Rs. 3499,Rs. 2099,4.4,340,Speaker,General
23,NOISE,Vibe 2 5W Wireless Speaker,Rs. 3499,Rs. 1099,4.3,76,Speaker,General
24,boAt,Aavante Bar Speakers,Rs. 7990,Rs. 4499,3.6,5,Speaker,General
25,Portronics,Speaker With Bluetooth,Rs. 2499,Rs. 999,4.2,307,Speaker,General
26,Saregama,Portable Music Player,Rs. 2990,Rs. 2490,4.4,35,Speaker,General
27,Sony,ULT Field 1 Bluetooth Speaker,Rs. 16990,Rs. 9699,4.5,19,Speaker,General
28,BLAUPUNKT,20W Wireless PA Speaker,Rs. 4999,Rs. 1199,4.3,15,Speaker,General
29,boAt,Stone 352 Pro Speaker,Rs. 4990,Rs. 1899,0,0,Speaker,General
30,Portronics,SoundDrum110W Portable Speaker,Rs. 2499,Rs. 999,4.1,436,Speaker,General
31,Portronics,Portable Bluetooth Speaker,Rs. 3999,Rs. 2799,3.7,26,Speaker,General
32,Saregama,Bluetooth Speaker,Rs. 2990,Rs. 2490,4.2,51,Speaker,General
33,Portronics,SoundDrum Portable Speaker,Rs. 2499,Rs. 899,4.2,70,Speaker,General
34,Saregama,Carvaan Mini Gurbani,Rs. 2990,Rs. 2490,4.5,26,Speaker,General
35,Portronics,Pure Sound 107 Soundbar,Rs. 14999,Rs. 6699,0,0,Speaker,General
36,Saregama,Portable Digital Music Player,Rs. 7190,Rs. 6990,4.5,121,Speaker,General
37,Saregama,Carvaan Mini Speakers,Rs. 2990,Rs. 2490,4.1,8,Speaker,General
38,Saregama,Music Player Speaker,0,0,4,23,Speaker,General
39,Portronics,SoundDrum P 20W Speaker,Rs. 3999,Rs. 2099,4.4,148,Speaker,General
40,Portronics,Vlogmate Dual Mic,Rs. 2999,Rs. 1799,3.2,5,Speaker,General
41,boAt,Aavante Bar 480 Speaker,0,0,0,0,Speaker,General
42,Portronics,Breeze Wireless Speaker,Rs. 3999,Rs. 2652,3.6,33,Speaker,General
43,BLAUPUNKT,Atomik Lytz 90 W Speaker,Rs. 32999,Rs. 9499,0,0,Speaker,General
44,Sony,SRS-XB100 Bluetooth Speaker,Rs. 5990,Rs. 4490,3.8,24,Speaker,General
45,Portronics,Wireless Bluetooth Speaker,Rs. 9999,Rs. 4999,4.5,19,Speaker,General
46,Portronics,X2 Bluetooth Speakers- 80W,Rs. 9999,Rs. 4299,3.9,19,Speaker,General
47,Sony,ULT Field 1 Bluetooth Speaker,Rs. 16990,Rs. 10990,4.6,27,Speaker,General
48,Sony,ULT Field 1 Bluetooth Speaker,Rs. 16990,Rs. 10990,4.8,17,Speaker,General
49,Portronics,Bluetooth Soundbar Speakers,Rs. 9999,Rs. 5299,3.9,25,Speaker,General
