BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Veet,Women Full Body Trimmer,Rs. 1999,Rs. 1599,4.3,213,Trimmer,Unisex
VEGA,,Rs. 2699,Rs. 1349,4.4,1.4k,Trimmer,Unisex
Philips,BT3101/15 Beard Trimmer,Rs. 1495,Rs. 1016,4.2,24k,Trimmer,Unisex
BOMBAE,Sensitive 6-in-1 Trimmer,0,0,4.4,1.1k,Trimmer,Unisex
VEGA,Men Turbolite Beard Trimmer,Rs. 949,Rs. 474,4.1,1.3k,Trimmer,Unisex
Mi,Men 2C Beard Trimmer,Rs. 1999,Rs. 1099,4.4,754,Trimmer,Unisex
Philips,MG3732/65 All-in-One Trimmer,Rs. 1945,Rs. 1653,4.2,1.5k,Trimmer,Unisex
Bombay Shaving Company,Men Power Groomer Trimmer,Rs. 2000,Rs. 1200,4.1,642,Trimmer,Unisex
VEGA,VHTH-31 SmartOne Beard Trimmer,Rs. 1599,Rs. 767,4.1,694,Trimmer,Unisex
Bombay Shaving Company,Power Play NXT Beard Trimmer,Rs. 1000,Rs. 650,4.4,3.1k,Trimmer,Unisex
Bombay Shaving Company,Power Styler Beard Trimmer,Rs. 1199,Rs. 851,4.2,3.7k,Trimmer,Unisex
Mi,Men All-In-One Grooming Kit,Rs. 3299,Rs. 1583,4.3,167,Trimmer,Unisex
VGR,Limited Edition Hair Clipper,Rs. 2299,Rs. 1379,4.5,23,Trimmer,Unisex
Bombay Shaving Company,Men Power Play Nxt Trimmer,Rs. 1000,Rs. 600,4.4,819,Trimmer,Unisex
VGR,V-071 Hair Clipper,Rs. 1399,Rs. 883,4.4,85,Trimmer,Unisex
Philips,BT3301/30 Beard Trimmer,Rs. 1699,Rs. 1444,4.4,1.3k,Trimmer,Unisex
WINSTON,WSBT-101 Snipper Beard Trimmer,Rs. 1799,Rs. 899,0,0,Trimmer,Unisex
Philips,SkinProtect Beard Trimmer,Rs. 1295,Rs. 1100,4.3,3.7k,Trimmer,Unisex
VEGA,4 In 1 Trimmer -VHBT-03,Rs. 1999,Rs. 1499,3.9,578,Trimmer,Unisex
WINSTON,Waterproof Trimmer- Grey,Rs. 1999,Rs. 999,0,0,Trimmer,Unisex
Philips,HP6388/00 Precision Trimmer,Rs. 2195,Rs. 1690,4.2,3.4k,Trimmer,Unisex
NOVA,NHT 1073/05 USB Trimmer,Rs. 999,Rs. 669,4,1.2k,Trimmer,Unisex
WINSTON,All In One Blade Trimmer,Rs. 2399,Rs. 1199,0,0,Trimmer,Unisex
BEARDO,ApeX Go Pocket Trimmer,Rs. 1199,Rs. 851,4.5,124,Trimmer,Unisex
VGR,V-290 Hair Clipper,Rs. 1599,Rs. 976,4,52,Trimmer,Unisex
PAINLESS,Rechargeable Bikini Trimmer,Rs. 1999,Rs. 799,4.8,6,Trimmer,Unisex
VGR,V-937 Hair Trimmer,Rs. 1799,Rs. 1139,4.2,35,Trimmer,Unisex
Philips,Set of 2 Replaceable Blades,Rs. 1549,Rs. 1347,4.5,928,Trimmer,Unisex
Agaro,CR3001 Callus Remover,Rs. 1699,Rs. 985,4.4,422,Trimmer,Unisex
BOMBAE,4-in-1 Eyebrow & Face Trimmer,0,0,4.4,224,Trimmer,Unisex
BEARDO,Men ApeX Prime 3-in-1 Trimmer,Rs. 1499,Rs. 1004,4.2,381,Trimmer,Unisex
BEARDO,Men Solid Ape-X Trimmer,Rs. 1499,Rs. 1004,4.2,2.3k,Trimmer,Unisex
Havells,BT6111 Beard Trimmer,Rs. 1695,Rs. 1000,4.1,141,Trimmer,Unisex
VGR,V-055 Hair Trimmer,Rs. 1299,Rs. 807,4.4,32,Trimmer,Unisex
VEGA,Men VHTH-25 Beard Trimmer,Rs. 1099,Rs. 824,4.2,587,Trimmer,Unisex
VGR,Limited Edition Hair Clipper,Rs. 2499,Rs. 1487,3.3,14,Trimmer,Unisex
WINSTON,Nut Groomer 2.0 Body Trimmer,Rs. 4499,Rs. 1799,4.3,67,Trimmer,Unisex
Gillette,Proglide 4-in-1 Styler,Rs. 999,Rs. 799,3.9,913,Trimmer,Unisex
Philips,MG3724/30 Multigroomer,Rs. 1895,Rs. 1364,4.4,4.7k,Trimmer,Unisex
Agaro,Nose & Ear Hair Trimmer,Rs. 1299,Rs. 792,0,0,Trimmer,Unisex
BEARDO,Men Ninja-X Pro Vacuum Trimmer,Rs. 2499,Rs. 999,4,142,Trimmer,Unisex
TRIMFINITY,GlidePro Body Trimmer,Rs. 2999,Rs. 1799,4.6,10,Trimmer,Unisex
VEGA,Mystic Lady Shaver VHLS 02,Rs. 2199,Rs. 1539,4.1,331,Trimmer,Unisex
VEGA,VHTH-30 SmartOne Beard Trimmer,Rs. 1799,Rs. 989,4.2,169,Trimmer,Unisex
VEGA,Men VHTH-33 Cleanball Trimmer,Rs. 2499,Rs. 1574,4.2,56,Trimmer,Unisex
PAINLESS,Electric Bikini Trimer,Rs. 2499,Rs. 874,0,0,Trimmer,Unisex
VEGA,VHTH-27 Power Series Trimmer,Rs. 1399,Rs. 1035,4.2,391,Trimmer,Unisex
PAINLESS,Eyebrow & Facial Hair Trimmer,Rs. 1999,Rs. 659,0,0,Trimmer,Unisex
WAHL,Men Moser 1400 Clipper,Rs. 2999,Rs. 1319,4.1,1.3k,Trimmer,Unisex
SIGNAXO,4 in 1 Hair Shaver & Trimmer,Rs. 2490,Rs. 1792,5,5,Trimmer,Unisex
