BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Realme,Wireless 3 with 30dB ANC,Rs. 2999,Rs. 1199,4.4,4.8k,Headphone,General
OnePlus,Buds 3 With Upto 49dB ANC,Rs. 6499,Rs. 5499,4.6,5.3k,Headphone,General
OnePlus,Wireless Z3 Neck Band,Rs. 1999,Rs. 1699,4.5,117,Headphone,General
OnePlus,Nord Buds 2r with 38H Playback,Rs. 2299,Rs. 1799,4.5,13.2k,Headphone,General
BOULT AUDIO,Shadow Earbuds,Rs. 2499,Rs. 749,4.1,13.8k,Headphone,General
Realme,T110 Fast Charging Earbuds,Rs. 2999,Rs. 1099,4.2,4.6k,Headphone,General
BOULT AUDIO,Mustang Torq Wireless Earbuds,Rs. 5999,Rs. 1999,4.3,352,Headphone,General
BOULT AUDIO,Shadow Earbuds,Rs. 2499,Rs. 749,4.1,9.3k,Headphone,General
OnePlus,Bullets Wireless Z2 with 30H,Rs. 2299,Rs. 1599,4.3,21.6k,Headphone,General
NOISE,Buds Nero TWS BT Earbuds,Rs. 3499,Rs. 899,3.9,486,Headphone,General
Realme,T310 46dB ANC & Spatial Audio,Rs. 3999,Rs. 2199,4.3,1.5k,Headphone,General
Realme,Wireless 3 with 30dB ANC,Rs. 2999,Rs. 1199,4.4,3.7k,Headphone,General
OnePlus,Buds 4 TWS In Ear Earbuds,Rs. 6499,Rs. 5999,4.2,9,Headphone,General
OnePlus,Bullets Wireless Z2 45dB ANC,Rs. 2499,Rs. 2099,4.4,5.2k,Headphone,General
BOULT AUDIO,Shadow Earbuds,Rs. 2499,Rs. 749,4.1,5.7k,Headphone,General
OnePlus,Nord Buds 3 Pro With 49dB ANC,Rs. 3699,Rs. 2999,4.5,3.9k,Headphone,General
Realme,Air 6 Pro with 50dB Smart ANC,Rs. 7999,Rs. 4499,4.3,504,Headphone,General
Realme,T110 Fast Charging Earbuds,Rs. 2999,Rs. 1099,4.2,1.8k,Headphone,General
CMF by Nothing,Buds 2a Wireless Earbuds,Rs. 2499,Rs. 2199,4.1,106,Headphone,General
BOULT AUDIO,FluidX ANC Wireless Headphones,Rs. 5999,Rs. 2299,3.7,72,Headphone,General
Realme,Buds Wireless 5 ANC Headphones,Rs. 2799,Rs. 1599,4.3,200,Headphone,General
boAt,Airdopes 138 TWS Earbuds,Rs. 2990,Rs. 1099,4,3.8k,Headphone,General
OnePlus,Bullets Wireless Z2 45dB ANC,Rs. 2499,Rs. 2099,4.5,3.1k,Headphone,General
OnePlus,Nord Buds 2r with 38H Playback,Rs. 2299,Rs. 1799,4.5,6.2k,Headphone,General
NOISE,Buds VS102 with 50H Playtime,Rs. 2999,Rs. 1099,3.9,29.4k,Headphone,General
BOULT AUDIO,Q Over Ear BT Headphones,Rs. 5999,Rs. 1999,3.8,144,Headphone,General
Portronics,C Wired Earphones with HD Mic,Rs. 799,Rs. 279,4.1,304,Headphone,General
BOULT AUDIO,Y1 Pro Earbuds with Quad Mic,Rs. 5999,Rs. 999,4.1,689,Headphone,General
OnePlus,Nord Buds 3,Rs. 2799,Rs. 2299,4.5,413,Headphone,General
BOULT AUDIO,Z40 Ultra 100H Battery Headset,Rs. 4999,Rs. 999,3.2,82,Headphone,General
Realme,Buds T200 Lite Headphones,Rs. 1999,Rs. 1399,0,0,Headphone,General
OnePlus,Buds 3 With Upto 49dB ANC,Rs. 6499,Rs. 5499,4.6,2k,Headphone,General
Realme,Buds Air7 Headphones,Rs. 4999,Rs. 3299,4.2,113,Headphone,General
CMF by Nothing,Buds 2 Plus with Hi-Res LDAC,Rs. 3999,Rs. 3299,0,0,Headphone,General
BOULT AUDIO,FluidX ANC Wireless Headphones,Rs. 5999,Rs. 2299,3.4,23,Headphone,General
boAt,Rockerz 460 Headphones,Rs. 2490,Rs. 1499,3.6,5,Headphone,General
Realme,Buds T200 Lite Headphones,Rs. 1999,Rs. 1399,0,0,Headphone,General
OnePlus,Nord Buds 3 Pro With 49dB ANC,Rs. 3699,Rs. 2999,4.5,1.4k,Headphone,General
Realme,Buds Wireless 3 Neo,Rs. 2499,Rs. 999,4.4,1.3k,Headphone,General
JBL,C50HI Wired Headphone,Rs. 699,Rs. 499,4.1,8k,Headphone,General
OnePlus,Nord Buds 3 BT Earbuds,Rs. 2799,Rs. 2299,4.3,483,Headphone,General
Realme,Buds Wireless 3 Neo,Rs. 2499,Rs. 999,4.5,163,Headphone,General
Nothing,42dB ANC Hi-Res+LDAC Headphone,Rs. 26999,Rs. 21999,0,0,Headphone,General
OnePlus,Buds 3 E509A,Rs. 6499,Rs. 5499,4.5,139,Headphone,General
Realme,T310 46dB ANC & Spatial Audio,Rs. 3999,Rs. 2199,4.3,4.7k,Headphone,General
OnePlus,Nord Buds 3 BT Earbuds,Rs. 2799,Rs. 2299,4.4,1.3k,Headphone,General
Realme,Air 6 Earbuds with 50dB ANC,Rs. 5999,Rs. 3299,4.4,1.8k,Headphone,General
boAt,Airdopes 148 Wireless Earbuds,Rs. 4490,Rs. 1099,3.8,432,Headphone,General
Realme,T110 Fast Charging Earbuds,Rs. 2999,Rs. 1099,4.3,597,Headphone,General
BOULT AUDIO,FluidX Pro ANC Headphones,Rs. 7999,Rs. 2499,3.4,38,Headphone,General
