BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Crocs,Women Flats,Rs. 3995,Rs. 2949,4.5,687,Flats,Women
Crocs,Women plash Open Toe Flats,0,0,4.5,523,Flats,Women
Shoetopia,Girls Open Toe Flats,Rs. 1999,Rs. 799,4.4,26,Flats,Women
ADIVER,Women Fashion Open Toe Flats,Rs. 1999,Rs. 499,3.4,271,Flats,Women
Crocs,Strappy Open Toe Flats,0,0,4.6,77,Flats,Women
Mast & Harbour,Women Suede Comfort Sandals,Rs. 2499,Rs. 949,4.4,1.3k,Flats,Women
El Paso,Women Open Toe Flats,Rs. 2899,Rs. 695,4,3.1k,Flats,Women
CAI,Two Strap Canvas Sandels,Rs. 2699,Rs. 2537,3.8,186,Flats,Women
ADIVER,Textured Open Toe Flats,Rs. 1999,Rs. 499,3.7,2k,Flats,Women
Mast & Harbour,Women One Toe Flats,Rs. 2499,Rs. 1074,3.5,54,Flats,Women
Skechers,Women T-Strap Flats,Rs. 3299,Rs. 1979,4.4,59,Flats,Women
El Paso,Buckles Open Toe Flats,Rs. 2899,Rs. 695,3.9,3.9k,Flats,Women
Fame Forever by Lifestyle,Girls Embellished Buckle Flats,Rs. 999,Rs. 649,0,0,Flats,Women
Metro,Backstrap Open Toe Flats,Rs. 2490,Rs. 996,4.2,68,Flats,Women
max,Girls Mojaris Flats,0,0,4.3,38,Flats,Women
Lavie,Women Open Toe Flats,Rs. 2499,Rs. 999,4.2,196,Flats,Women
Metro,Women Open Toe Flats,Rs. 2490,Rs. 1120,4.1,33,Flats,Women
CAI,Women Open Toe Flats,Rs. 2299,Rs. 1195,4.5,75,Flats,Women
DressBerry,Women Open Toe Flats,Rs. 1999,Rs. 599,4.3,439,Flats,Women
U.S. Polo Assn.,Women T-Strap Flats,Rs. 3599,Rs. 2699,4.6,22,Flats,Women
WALKWAY by Metro,Embellished Open Toe Flats,0,0,4.5,454,Flats,Women
max,Printed Open Toe Flats,Rs. 599,Rs. 499,4.4,829,Flats,Women
CAI,Women Multi Patterned Flats,Rs. 1899,Rs. 1747,4.5,225,Flats,Women
Jbarg,Women Open Toe Flats,Rs. 1999,Rs. 639,3.6,414,Flats,Women
Mochi,Women Open Toe Flats,Rs. 1490,Rs. 834,4.4,3k,Flats,Women
Mochi,Women Open Toe Flats,Rs. 1690,Rs. 676,3.9,93,Flats,Women
GNX,Girls Open Toe Flats,Rs. 1299,Rs. 799,4.1,25,Flats,Women
Froh Feet,Women Mules Flats,Rs. 2995,Rs. 688,3.3,16,Flats,Women
Mochi,Women Open Toe Flats,Rs. 1690,Rs. 794,4.5,1k,Flats,Women
Pantaloons Junior,Girls Open Toe Flats,Rs. 899,Rs. 809,4.4,24,Flats,Women
Pantaloons Junior,Girls Fashion Flats,Rs. 799,Rs. 719,4.8,5,Flats,Women
CAI,Women Open Toe Flats,Rs. 1899,Rs. 1405,4.4,24,Flats,Women
Lavie,Women Open Toe Flats,Rs. 2499,Rs. 799,3.9,305,Flats,Women
CHINRAAG,Women T-Strap Flats,Rs. 1499,Rs. 499,4.4,10,Flats,Women
Metro,Women One Toe Flats,Rs. 1690,Rs. 845,4.4,242,Flats,Women
Mast & Harbour,Women Open Toe Flats,Rs. 2699,Rs. 998,3.8,24,Flats,Women
Mochi,Women Open Toe Flats,Rs. 1490,Rs. 670,4.5,1.5k,Flats,Women
U.S. Polo Assn.,Women T-Strap Flats,Rs. 3399,Rs. 2243,4.1,9,Flats,Women
Pantaloons Junior,Girls Fashion Flats,Rs. 799,Rs. 759,4.1,15,Flats,Women
TRASE,Women Open Toe Flats,Rs. 2499,Rs. 899,4.3,107,Flats,Women
U.S. Polo Assn.,Women T-Strap Flats,Rs. 3399,Rs. 2243,4,17,Flats,Women
Tiny Bugs,Girls Open Toe Flats,Rs. 1499,Rs. 719,4.3,32,Flats,Women
Anouk,Embroidered Mojaris,Rs. 1999,Rs. 699,4.4,1.1k,Flats,Women
CAI,Women Open Toe Flats,Rs. 2799,Rs. 2603,3.9,37,Flats,Women
Mochi,Women Open Toe Flats,Rs. 1490,Rs. 789,4.4,1.8k,Flats,Women
Shoetopia,Women Mules Flats,Rs. 1499,Rs. 494,3.7,19,Flats,Women
Metro,Women One Toe Flats,Rs. 2690,Rs. 1076,4.5,25,Flats,Women
Metro,Women Open Toe Flats,Rs. 1490,Rs. 745,4.3,418,Flats,Women
Shoetopia,Girls Textured T-Strap Flats,Rs. 1499,Rs. 644,4.4,15,Flats,Women
99CRAFTS,Men Solid Open Toe Flats,Rs. 5399,Rs. 1403,3.8,11,Flats,Women
