BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Aadvi Fashion,Women High-Rise Wide Leg Jeans,Rs. 2999,Rs. 698,4.2,1.5k,Jeans,Women
StyleCast,Wide Leg High-Rise Denim Jeans,Rs. 2849,Rs. 1396,3.9,1.9k,Jeans,Women
Flying Machine,Women Flared High-Rise Jeans,Rs. 2199,Rs. 1539,4.3,846,Jeans,Women
Aadvi Fashion,Women Baggy Jeans,Rs. 2899,Rs. 698,4.1,1.8k,Jeans,Women
Roadster,Straight Fit High-Rise Jeans,Rs. 1699,Rs. 679,3.9,436,Jeans,Women
Turning Blue,Women Plus Size Jeans,Rs. 2999,Rs. 1499,4.3,571,Jeans,Women
DressBerry,Women Bootcut High-Rise Jeans,Rs. 2950,Rs. 885,3.6,120,Jeans,Women
Flying Machine,Women Stretchable Jeans,Rs. 1899,Rs. 1101,4.1,299,Jeans,Women
Bewakoof,Women Wide Leg High-Rise Jeans,Rs. 2899,Rs. 1399,4,61,Jeans,Women
Stylecast X Kotty,Women Straight Fit Jeans,Rs. 2499,Rs. 499,3.7,1.2k,Jeans,Women
KOTTY Basics,Women High-Rise Cotton Jeans,Rs. 1999,Rs. 579,3.8,3.1k,Jeans,Women
High Star,Women Wide Leg High-Rise Jeans,Rs. 3999,Rs. 1639,0,0,Jeans,Women
SPYKAR,Women Slim Fit High-Rise Jeans,Rs. 2199,Rs. 1077,4.3,80,Jeans,Women
Roadster,Women Pure Cotton Jeans,Rs. 2599,Rs. 987,3.6,426,Jeans,Women
Freeform by High Star,Women Plus Size HighRise Jeans,Rs. 2699,Rs. 971,4.1,361,Jeans,Women
Stylecast X Kotty,Straight Fit High-Rise Jeans,Rs. 2499,Rs. 499,3.8,311,Jeans,Women
Roadster,Women Straight Fit Jeans,Rs. 2699,Rs. 1295,4,213,Jeans,Women
Turning Blue,Plus Size Women Wide Leg Jeans,Rs. 3199,Rs. 1449,4.2,309,Jeans,Women
Basics By Tokyo Talkies,Women Flared Clean Look Jeans,Rs. 1999,Rs. 669,4.1,9.7k,Jeans,Women
Kotty,Women Slim Fit Jeans,Rs. 2499,Rs. 699,4.1,23,Jeans,Women
Turning Blue,Plus Size Women Wide Leg Jeans,Rs. 3299,Rs. 1499,3.8,381,Jeans,Women
Roadster,Women No Faded Jeans,Rs. 2499,Rs. 599,4.2,629,Jeans,Women
H&M,Women Straight High Jeans,0,0,3.5,634,Jeans,Women
Urbano Fashion,Women Wide Leg Jeans,Rs. 2099,Rs. 986,3.9,581,Jeans,Women
Roadster,Women Wide Leg High-Rise Jeans,Rs. 2199,Rs. 835,4.2,2.4k,Jeans,Women
ZUYA,Women Wide Leg High-Rise Jeans,Rs. 2499,Rs. 990,4.3,82,Jeans,Women
Freeform by High Star,Women Relaxed Fit Jeans,Rs. 2549,Rs. 1427,4.3,35,Jeans,Women
glitchez,Women wide leg Wide Leg Fit Jeans,Rs. 1999,Rs. 619,4.1,164,Jeans,Women
SASSAFRAS BASICS,Women Flared High-Rise Jeans,Rs. 2498,Rs. 999,3.9,282,Jeans,Women
FableStreet,Women Straight Mid-Rise Jeans,0,0,0,0,Jeans,Women
Kotty,Women Straight Fit Jeans,Rs. 1999,Rs. 579,3.8,10k,Jeans,Women
High Star,Straight Fit Jeans,Rs. 2499,Rs. 874,4,2k,Jeans,Women
Turning Blue,Women Wide Leg High-Rise Jeans,Rs. 3699,Rs. 1499,4.2,19,Jeans,Women
DressBerry,Women Bootcut High-Rise Jeans,Rs. 2950,Rs. 885,3.3,98,Jeans,Women
Roadster,Women Skinny Fit Jeans,Rs. 2299,Rs. 597,3.9,4.3k,Jeans,Women
Go Colors,Women Flared Cotton Jeans,Rs. 1999,Rs. 1499,4.4,66,Jeans,Women
COSMIC TRIO,Women Bootcut Jeans,Rs. 1899,Rs. 854,4.2,310,Jeans,Women
Stylecast X Kotty,Women Straight Fit Jeans,Rs. 1999,Rs. 519,4,336,Jeans,Women
FableStreet,Comfort Fit Wide Leg Jeans,0,0,0,0,Jeans,Women
CURVY STREET,Women Wide Leg Jeans,Rs. 2999,Rs. 1049,3.7,69,Jeans,Women
DressBerry,Bootcut Stretchable J,Rs. 2950,Rs. 885,3.7,108,Jeans,Women
Freeform by High Star,Plus Size Wide Leg Jeans,Rs. 2599,Rs. 1325,4.3,1.4k,Jeans,Women
KOTTY Basics,Women Straight Fit Jeans,Rs. 2499,Rs. 774,3.4,534,Jeans,Women
French Connection,Women Relaxed Fit Jeans,Rs. 3299,Rs. 1319,3.8,698,Jeans,Women
Miss Chase,Women Skinny Fit High-Rise Jeans,Rs. 1949,Rs. 1188,4.2,3.2k,Jeans,Women
StyleCast,Women Flared High-Rise Jeans,Rs. 2949,Rs. 1356,3.9,632,Jeans,Women
Kotty,Women Straight Fit Jeans,Rs. 1999,Rs. 579,4,4.2k,Jeans,Women
Freeform by High Star,Women Plus Size Jeans,Rs. 2699,Rs. 944,4.3,361,Jeans,Women
Flying Machine,Women Bootcut High-Rise Jeans,Rs. 2399,Rs. 1463,4.3,109,Jeans,Women
glitchez,Women Wide Leg Faded Jeans,Rs. 2199,Rs. 901,4.1,205,Jeans,Women
