BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
GIVA,Unisex Set Of 2 Finger Ring,Rs. 6799,Rs. 2787,0,0,Jewellery,Women
GIVA,925 Silver Evil Eye Bracelet,Rs. 2599,Rs. 779,4.6,51,Jewellery,Women
Anouk,Gold-Plated Mathapatti,Rs. 1699,Rs. 373,4.4,49,Jewellery,Women
Sangria,925 Sterling Silver Nosepin,Rs. 999,Rs. 799,0,0,Jewellery,Women
Clara,Pearl Pendant With Chain Gift,Rs. 3598,Rs. 2399,4.8,54,Jewellery,Women
Sangria,Stone-Studded Mangalsutra,Rs. 1999,Rs. 399,0,0,Jewellery,Women
Sangria,Set Of 2 Silver-Plated Anklets,Rs. 999,Rs. 339,0,0,Jewellery,Women
GIVA,925 Silver Set Of 2 Rings,Rs. 2999,Rs. 1469,1.8,14,Jewellery,Women
MANGO,Set of 2 Finger Rings,Rs. 1490,Rs. 670,4.1,11,Jewellery,Women
Rubans,Set of 3 CZ Nose Ring,Rs. 998,Rs. 399,4.4,29,Jewellery,Women
Kushal's Fashion Jewellery,Victorian Plated Jewellery Set,0,0,0,0,Jewellery,Women
Maasha,Stainless Steel Necklace,Rs. 999,Rs. 499,0,0,Jewellery,Women
VENI,SetOf12 Silver-Plated Nosepins,Rs. 2299,Rs. 597,3.8,21,Jewellery,Women
Clara,925 Sterling Silver Pendant,Rs. 2998,Rs. 1799,4.6,206,Jewellery,Women
Rubans,22KT Gold Plated Jewellery Set,Rs. 3300,Rs. 528,4.4,388,Jewellery,Women
EL REGALO,Half Hoop Earrings,Rs. 1099,Rs. 290,4.1,940,Jewellery,Women
Kushal's Fashion Jewellery,Gold-Plated Antique Necklace,0,0,0,0,Jewellery,Women
PANASH,Gold-Plated Head Jewellery,Rs. 2249,Rs. 558,3.9,7,Jewellery,Women
South Temple Jewellery,Gold-Plated Head Jewellery,Rs. 699,Rs. 573,4.9,9,Jewellery,Women
Zisthi,Gold-Plated Hoop Earrings,Rs. 6599,Rs. 2441,0,0,Jewellery,Women
Sangria,Septum No Piercing Nosepin,Rs. 999,Rs. 499,0,0,Jewellery,Women
Zaveri Pearls,Pack of 3 Contemporary Studs,Rs. 2079,Rs. 311,4.3,5.4k,Jewellery,Women
Reenisaa,Studs Earrings,Rs. 1599,Rs. 911,0,0,Jewellery,Women
Jewels Galaxy,Women Bangle-Style Bracelet,Rs. 1659,Rs. 353,4.5,4.7k,Jewellery,Women
Jazz and Sizzle,Silver-Plated Maang Tika,Rs. 2049,Rs. 307,4.5,491,Jewellery,Women
Kushal's Fashion Jewellery,Kundan Studded Jewellery Set,0,0,0,0,Jewellery,Women
Anouk,Women Gold-Plated Mathapatti,Rs. 1999,Rs. 399,4.3,40,Jewellery,Women
Yellow Chimes,Gold-Plated Chained Nosepin,Rs. 1800,Rs. 432,4.4,120,Jewellery,Women
Kushal's Fashion Jewellery,Victorian-Plated Jewellery Set,0,0,0,0,Jewellery,Women
Mali Fionna,Gold-Plated Septum Nosepin,Rs. 999,Rs. 289,4.5,116,Jewellery,Women
Astrotalk,Dhan Yog Bracelet,Rs. 1999,Rs. 599,4.1,135,Jewellery,Women
PALMONAS,925 Sterling Silver Bracelet,Rs. 11499,Rs. 8049,0,0,Jewellery,Women
KARATCART,Gold-Plated Head Jewellery,Rs. 3421,Rs. 410,4.2,110,Jewellery,Women
Priyaasi,Gold-Plated Head Jewellery,Rs. 2345,Rs. 351,4.7,13,Jewellery,Women
SHAYA,Women Bracelet,Rs. 2300,Rs. 1840,4.2,20,Jewellery,Women
Zaveri Pearls,Gold-Plated Jewellery Set,Rs. 2950,Rs. 383,3.9,212,Jewellery,Women
Adwitiya Collection,Gold-Plated Stud Nosepin,Rs. 2159,Rs. 499,0,0,Jewellery,Women
GIVA,925 Silver Pearls Studs,Rs. 2599,Rs. 1221,0,0,Jewellery,Women
Saraf RS Jewellery,Gold-Plated AD & CZ-Studded Handcrafted Jadau Maang Tikka,Rs. 3125,Rs. 687,4.7,117,Jewellery,Women
Zaveri Pearls,Kundan Wraparound Bracelet,Rs. 2750,Rs. 412,4.4,158,Jewellery,Women
Kushal's Fashion Jewellery,Gold-Plated Jewellery Set,0,0,0,0,Jewellery,Women
KARATCART,Set of 4 Gold-Plated Studs Earrings,Rs. 1130,Rs. 203,4.4,1.9k,Jewellery,Women
Zaveri Pearls,Gold-Plated Jewellery Set,Rs. 2995,Rs. 359,4.4,4k,Jewellery,Women
Clara,Rhodium-Plated Pendant,Rs. 3798,Rs. 2199,4.6,59,Jewellery,Women
Sangria,925 Sterling Silver Nosepin,Rs. 999,Rs. 599,0,0,Jewellery,Women
Fida,Gold Plated Jhumkas Earrings,Rs. 1399,Rs. 545,4.3,145,Jewellery,Women
925 SILLER,925 Sterling Silver Anklet,Rs. 7690,Rs. 1845,3.7,11,Jewellery,Women
Rubans,Gold Plated Jewellery Set,Rs. 5167,Rs. 1136,4.2,250,Jewellery,Women
OOMPH,Kundan-Studded Sheeshphool,Rs. 5990,Rs. 699,4.5,156,Jewellery,Women
SHAYA,Women Silver Gold-Plated Wraparound Bracelet,Rs. 1800,Rs. 1440,4.8,5,Jewellery,Women
