BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
CrossKulture,Women Printed Nightdress,Rs. 1999,Rs. 999,0,0,Loungewear,Women
Clovia,Pure Cotton Shirt & Pyjama Set,Rs. 1999,Rs. 839,4.3,302,Loungewear,Women
Herryqeal,Printed Baby Doll,Rs. 1999,Rs. 499,3.4,19,Loungewear,Women
Jockey,Checked Straight Lounge Pant,Rs. 949,Rs. 939,4.3,411,Loungewear,Women
Dreamz by Pantaloons,Straight-Leg Lounge Pants,Rs. 699,Rs. 664,4.2,16,Loungewear,Women
max,Pure Cotton Lounge Pant,Rs. 499,Rs. 449,4.3,1.1k,Loungewear,Women
max,Printed Cotton Lounge Shorts,Rs. 349,Rs. 309,4.5,453,Loungewear,Women
AMMARZO,Self-Deign Nightwear Robe,Rs. 3999,Rs. 1199,0,0,Loungewear,Women
Kryptic,Women Cotton Lounge Pants,Rs. 1249,Rs. 374,4.3,752,Loungewear,Women
Jockey,Women Checked Lounge Pant,0,0,3.7,616,Loungewear,Women
AV2,Lace Work Satin Night Suit,Rs. 1499,Rs. 599,4.2,1.6k,Loungewear,Women
Smarty Pants,Straight-Fit Lounge Pants,Rs. 1299,Rs. 584,3.8,52,Loungewear,Women
Enamor,Women Printed Lounge Shorts,Rs. 679,Rs. 611,4.5,2.5k,Loungewear,Women
Sweet Dreams,Women Night suit,0,0,4.4,5,Loungewear,Women
ariel,3Pc Abstract Printed Shorts,Rs. 1499,Rs. 794,4.5,15,Loungewear,Women
Marks & Spencer,Women Graphic Print Night suit,0,0,0,0,Loungewear,Women
Sweet Dreams,Women Night suit,Rs. 2799,Rs. 2519,0,0,Loungewear,Women
NEUDIS,Women Wide-Leg Lounge Pants,Rs. 1499,Rs. 644,4,60,Loungewear,Women
ariel,Women Printed Lounge Shorts,Rs. 999,Rs. 449,4.6,77,Loungewear,Women
AV2,Printed Night Suit,Rs. 2499,Rs. 949,4.5,60,Loungewear,Women
Van Heusen,Women Relax Fit Lounge T-Shirt,Rs. 499,Rs. 484,4.4,61,Loungewear,Women
Herryqeal,Women Halter Neck Baby Doll,Rs. 1999,Rs. 405,4.3,105,Loungewear,Women
Sweet Dreams,Women Floral Print Night suit,Rs. 2799,Rs. 2519,0,0,Loungewear,Women
Tokyo Talkies,Regular Fit Sleep Shirt,Rs. 999,Rs. 319,4.2,234,Loungewear,Women
Marks & Spencer,Women Graphic Print Night suit,0,0,0,0,Loungewear,Women
Sweet Dreams,Print Night suit,Rs. 2999,Rs. 2699,0,0,Loungewear,Women
Broiden,Self Design Baby Doll,Rs. 2999,Rs. 599,4.2,840,Loungewear,Women
Mast & Harbour,Printed Satin Night Suit,Rs. 2799,Rs. 839,4.5,619,Loungewear,Women
Sweet Dreams,Floral Printed Maxi Nightdress,Rs. 1499,Rs. 809,4.3,68,Loungewear,Women
Herryqeal,Self Design Baby Doll,Rs. 2599,Rs. 363,3.8,144,Loungewear,Women
max,Printed Pure Cotton Nightdress,Rs. 799,Rs. 649,4.5,922,Loungewear,Women
Sweet Dreams,Women Geometric Print Night suit,0,0,0,0,Loungewear,Women
PURPLE FLAUNT,Striped Maternity Nightdress,Rs. 1299,Rs. 831,4.5,307,Loungewear,Women
Jockey,Women Solid Lounge Pants,0,0,4.4,641,Loungewear,Women
Sweet Dreams,Women Printed Night Suit,0,0,4.4,19,Loungewear,Women
Claura,Printed Nightdress,Rs. 1899,Rs. 873,4.3,2.9k,Loungewear,Women
SANSKRUTIHOMES,Women Printed Night suit,Rs. 2599,Rs. 779,4.2,8.4k,Loungewear,Women
Van Heusen,Women Flared Lounge Pants,Rs. 1049,Rs. 870,4.3,356,Loungewear,Women
Masha,Oversized Cotton Night suit,Rs. 2499,Rs. 1349,4.5,309,Loungewear,Women
Leading Lady,Women Printed Lounge Shorts,Rs. 599,Rs. 311,4.5,63,Loungewear,Women
CrossKulture,Pure Cotton T-shirt Nightdress,Rs. 1999,Rs. 999,0,0,Loungewear,Women
Herryqeal,Halter Neck Baby Doll,Rs. 1999,Rs. 405,4.2,551,Loungewear,Women
NEUDIS,Ribbed Lounge Pants,Rs. 1499,Rs. 644,4.1,56,Loungewear,Women
Sweet Dreams,Women Night suit,Rs. 2399,Rs. 2159,0,0,Loungewear,Women
Ichaa,Floral Printed Night suit,Rs. 2999,Rs. 599,0,0,Loungewear,Women
HANDICRAFT PALACE,Pure Cotton Kaftan Nightdress,Rs. 799,Rs. 703,4.2,26,Loungewear,Women
Sweet Dreams,Women Night suit,Rs. 2799,Rs. 2519,0,0,Loungewear,Women
max,Floral Printed Nightgown,Rs. 899,Rs. 699,4.3,161,Loungewear,Women
Mast & Harbour,Printed Satin Night Suit,Rs. 2399,Rs. 623,4.6,395,Loungewear,Women
Van Heusen,Women Flared Lounge Pants,Rs. 1049,Rs. 870,4.4,84,Loungewear,Women
