BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Lakme,Eyeconic Kajal - Classic Brown,Rs. 350,Rs. 227,4.4,7.4k,Makeup,Women
Lakme,9to5 CC Light Mousse - 01,Rs. 525,Rs. 341,4.3,4.2k,Makeup,Women
Lakme,Sun Expert Ultra Matte Compact,Rs. 349,Rs. 167,4.4,20.9k,Makeup,Women
Maybelline,Instant Age Rewind Concealer,Rs. 749,Rs. 411,4.5,3.2k,Makeup,Women
Lakme,Set of 2 Eyeconic Kajal,Rs. 420,Rs. 201,4.6,47.1k,Makeup,Women
IMAGIC,6 Color Touch Blush Palette,Rs. 1599,Rs. 799,4.6,1k,Makeup,Women
Pilgrim,Dubai Bling Lipstick- 05,Rs. 645,Rs. 451,4.4,257,Makeup,Women
Maybelline,Waterproof Mascara-Very Black,Rs. 799,Rs. 511,4.5,13.8k,Makeup,Women
Maybelline,Lifter Lip Gloss - Moon,Rs. 799,Rs. 479,4.6,1.1k,Makeup,Women
LICK,28pcs Nail Set,Rs. 649,Rs. 220,4.8,5,Makeup,Women
Pixi,Hydrating On-the-Glow Blush,0,0,4.7,30,Makeup,Women
Pilgrim,4-Pcs Lipstick - The Pink Sin,Rs. 745,Rs. 260,4.3,605,Makeup,Women
ETUDE,Dear Darling Water Tint - 4,Rs. 450,Rs. 427,4.2,409,Makeup,Women
M.A.C,Fix+ Multitask Setting Spray,0,0,4.7,83,Makeup,Women
LOreal,Infallible Full Wear Concealer,Rs. 849,Rs. 466,4.6,2.9k,Makeup,Women
Maybelline,Fit me Concealer - Caramel 40,Rs. 599,Rs. 341,4.5,3.2k,Makeup,Women
FACES CANADA,Ultime Pro Gel Kajal - Black,Rs. 575,Rs. 408,4.5,7.8k,Makeup,Women
Makeup Revolution London,Pro New Neutral Palette 18 g,Rs. 1450,Rs. 507,4.6,3k,Makeup,Women
Maybelline,Eyeshadow Palette - Blush,Rs. 999,Rs. 549,4.4,9.7k,Makeup,Women
Renee,Midnight Kohl Kajal Pencil,0,0,4.3,12k,Makeup,Women
Makeup Revolution London,Ultra Blush & Contour Palette,Rs. 950,Rs. 285,4.4,541,Makeup,Women
Earth Rhythm,Lip & Cheek Tint,Rs. 499,Rs. 434,4.4,3.2k,Makeup,Women
Tuco Intelligent,Girls Glam Makeup Box,Rs. 899,Rs. 597,4.1,7,Makeup,Women
Maybelline,Matte Compact-Natural Buff,Rs. 269,Rs. 156,4.4,16.5k,Makeup,Women
The Pink Truck,Set of 24 Reusable Nails,Rs. 999,Rs. 359,3.9,54,Makeup,Women
Lancome,Idole Eye Liner - Black,Rs. 2400,Rs. 1920,0,0,Makeup,Women
MARS,High Coverage Foundation - 06,Rs. 379,Rs. 299,4.3,1.1k,Makeup,Women
Pilgrim,Dubai Bling Lipstick- 08,Rs. 645,Rs. 451,4.4,283,Makeup,Women
M.A.C,In Extreme Kajal - Black,0,0,4.4,7k,Makeup,Women
Maybelline,Fit Me Matte Foundation,Rs. 649,Rs. 369,4.5,20.9k,Makeup,Women
LOreal,Infallible Full Wear Concealer,Rs. 849,Rs. 475,4.6,3.4k,Makeup,Women
Lakme,CC Tinted Serum 30ml - Latte,Rs. 699,Rs. 384,4.3,161,Makeup,Women
LICK,30pcs Artificial Nail Set,Rs. 799,Rs. 239,0,0,Makeup,Women
Pilgrim,Lipstick- The Khalifa- 02,Rs. 645,Rs. 451,4.2,326,Makeup,Women
Maybelline,Colossal Bold Liner - Black,Rs. 299,Rs. 170,4.5,60.7k,Makeup,Women
LOreal,Infallible 32H Foundation-140,Rs. 1099,Rs. 571,4.3,2.2k,Makeup,Women
Makeup Revolution London,Reloaded Combo II Eyeshadow,0,0,4.4,2.7k,Makeup,Women
Lakme,9to5 CC Light Mousse - 03,Rs. 525,Rs. 367,4.2,1.3k,Makeup,Women
The Pink Truck,Set Of 24 Reusable Nails,Rs. 999,Rs. 399,4.1,124,Makeup,Women
Mamaearth,Creamy Matte Ruby Crush,Rs. 399,Rs. 335,4.3,699,Makeup,Women
Lakme,9to5 CC Light Mousse - 1A,Rs. 525,Rs. 320,4.3,1.4k,Makeup,Women
VEGA,NB-01 Nail Buffer,Rs. 140,Rs. 119,4.2,129,Makeup,Women
The Pink Truck,Set of 24 Artificial Nails,Rs. 999,Rs. 399,4,50,Makeup,Women
Lakme,CC Tinted Serum 30ml - Dolce,Rs. 749,Rs. 449,4.6,96,Makeup,Women
FEELHIGH,24Pcs Press On Nails - A07,0,0,4.2,19,Makeup,Women
MARS,Love Track Velvet Lip Tint,0,0,4.7,47,Makeup,Women
Maybelline,Colossal Kajal - Deep Black,Rs. 199,Rs. 133,4.5,68.2k,Makeup,Women
LICK,30 Pcs Matte Nails Extensions,Rs. 549,Rs. 225,4.5,26,Makeup,Women
MARS,Love Track Velvet Lip Tint,0,0,4.6,62,Makeup,Women
Lakme,9to5 CC Light Mousse - 04,Rs. 499,Rs. 324,4.2,348,Makeup,Women
