BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Clinique,Women Happy Perfume Spray,Rs. 9999,Rs. 3999,4.5,3.4k,Perfume,Unisex
Lancome,Women Idole Eau De Parfum 50ml,Rs. 6800,Rs. 6120,4.8,216,Perfume,Unisex
Marks & Spencer,Ocean Musk EDT - 100 ml,0,0,4.3,153,Perfume,Unisex
Bella Vita Organic,Honey Oud Eau De Parfum 100 ml,Rs. 999,Rs. 579,4.5,5.4k,Perfume,Unisex
Lancome,Women Idole Eau De Parfum,Rs. 9500,Rs. 8550,4.7,164,Perfume,Unisex
Plum,BodyLovin' VanillaCaramelloEDP,Rs. 899,Rs. 629,4.5,2.3k,Perfume,Unisex
Marks & Spencer,Magnolia EDT- 100 ml,0,0,4.6,20,Perfume,Unisex
Prada,Women Paradoxe EDP - 50ml,Rs. 10400,Rs. 9360,4.7,74,Perfume,Unisex
Bella Vita Organic,Unisex White Oud Perfume,Rs. 999,Rs. 579,4.4,11.2k,Perfume,Unisex
Marks & Spencer,Fresh Mandarin Eau De Toilette 30ml,0,0,4.1,79,Perfume,Unisex
Lancome,Women Idole EDP - 10 ml,0,0,4.8,80,Perfume,Unisex
Calvin Klein,Everyone Eau De Toilette- 10ml,Rs. 1900,Rs. 1615,4.3,41,Perfume,Unisex
Bella Vita Organic,4Pcs Eau de Parfum Gift Set,Rs. 849,Rs. 500,4.3,954,Perfume,Unisex
Lancome,Women La Vie Est Belle EDP,Rs. 10500,Rs. 9450,4.7,64,Perfume,Unisex
Plum,BodyLovin' Hawaiian Rumba EDP,Rs. 799,Rs. 559,4.5,649,Perfume,Unisex
Bella Vita Organic,Skai Aquatic EDC - 100ml,Rs. 699,Rs. 496,4.5,7k,Perfume,Unisex
Lancome,Women La Vie Est Belle EDP,Rs. 5500,Rs. 4950,4.3,51,Perfume,Unisex
Marks & Spencer,Warm Neroli Eau De Toilette,0,0,4.1,85,Perfume,Unisex
Plum,BodyLovin' Vanilla Vibes EDP,Rs. 799,Rs. 559,4.5,945,Perfume,Unisex
Lancome,Women Idole Now Eau Da Parfum,Rs. 9500,Rs. 8550,4.9,53,Perfume,Unisex
Arabian Aroma,Seduction Eau De Parfum- 100ml,Rs. 799,Rs. 431,4.3,1.2k,Perfume,Unisex
Bella Vita Organic,Vanilla Gourmet EDP- 100 ml,Rs. 799,Rs. 575,4.3,530,Perfume,Unisex
Elizabeth Arden,Women 5th Avenue Eau De Parfum,Rs. 7000,Rs. 5950,4.6,28,Perfume,Unisex
Carlton London,Set of Him & Her EDP,Rs. 2290,Rs. 687,4.4,1.6k,Perfume,Unisex
Carlton London,Set of 4 EDP Perfume-30ml each,Rs. 2490,Rs. 747,4.5,8.3k,Perfume,Unisex
Lancome,Rose Eau Da Parfum-100ml,Rs. 10500,Rs. 9450,4.4,15,Perfume,Unisex
Marks & Spencer,Spiced Amber Eau De Toilette,0,0,4.4,105,Perfume,Unisex
GUESS,Amore Portofino EDT - 100 ml,Rs. 5900,Rs. 2360,4.4,124,Perfume,Unisex
Carolina Herrera,Good Girl Eau de Parfum 80 ml,0,0,4.7,278,Perfume,Unisex
Ajmal,Summer Sage Eau De Parfum,Rs. 899,Rs. 503,4.1,479,Perfume,Unisex
Plum,BodyLovin' EDP - 50 ml,Rs. 899,Rs. 629,4.3,99,Perfume,Unisex
Carolina Herrera,Good Girl Blush Eau de Parfum,0,0,4.3,257,Perfume,Unisex
Bella Vita Organic,Pure Musk Eau De Parfum-100 ml,Rs. 899,Rs. 503,3.9,431,Perfume,Unisex
Marks & Spencer,8 Pcs Eau De Toilette-2ml Each,0,0,3.8,13,Perfume,Unisex
Yves Saint Laurent,Women Libre Eau De Parfum,0,0,4.8,23,Perfume,Unisex
SKINN,4-Pcs 24Seven EDP- 20 ml,Rs. 1745,Rs. 1483,4.5,176,Perfume,Unisex
Ajmal,Patchouli Haze Eau De Parfum,Rs. 899,Rs. 503,4.1,469,Perfume,Unisex
Giorgio Armani,Women Si Eau de Parfum 100ml,Rs. 11000,Rs. 9900,4.7,126,Perfume,Unisex
Plum,Set Of 2 Eau De Parfum - 15 ml,Rs. 640,Rs. 448,4.5,196,Perfume,Unisex
Marks & Spencer,White Coconut EDT - 100 ml,0,0,3.8,27,Perfume,Unisex
Carolina Herrera,Very Good Girl Eau De Parfum,0,0,0,0,Perfume,Unisex
Ajmal,4-Pcs Perfume Gift Set- 20 ml,Rs. 1299,Rs. 1000,4.4,83,Perfume,Unisex
Ajmal,Unisex Eau De Parfum 100 ml,Rs. 1500,Rs. 600,4.2,981,Perfume,Unisex
Prada,Women La Femme Leau EDT- 100ml,Rs. 12000,Rs. 9600,4.6,13,Perfume,Unisex
FRENCH ESSENCE,Bloom & Oudh Eau De Parfum,Rs. 599,Rs. 329,4.3,940,Perfume,Unisex
GUESS,Amore Capri EDT - 100 ml,Rs. 5900,Rs. 2360,4.2,135,Perfume,Unisex
Lancome,Women Idole Now Eau Da Parfum,Rs. 6800,Rs. 6120,4.7,45,Perfume,Unisex
Arabian Aroma,Unisex 3 Pcs Perfume -30 ml,Rs. 1499,Rs. 644,4.3,279,Perfume,Unisex
Marks & Spencer,Spiced Bergamot Eau De Toilette 30ml,0,0,4.3,219,Perfume,Unisex
Yves Saint Laurent,Women Libre Flowers & Flames,0,0,4.7,15,Perfume,Unisex
