BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
Sangria,V-Neck Pure Cotton Kurta,Rs. 2099,Rs. 629,4.2,1.9k,Kurta,Women
KALINI,Floral Printed Kurta Set,Rs. 4999,Rs. 1299,4.2,129,Kurta,Women
TextileNow,Sequinned Anarkali Kurta Set,Rs. 4995,Rs. 1798,3.9,719,Kurta,Women
SINGNI,Kurta with Trousers & Dupatta,Rs. 6499,Rs. 779,4,10.1k,Kurta,Women
KIMAYRA,Floral Printed Kurta Set,Rs. 3599,Rs. 1399,4.2,2k,Kurta,Women
TextileNow,Women Solid Kurta Set,Rs. 6199,Rs. 1999,4.1,26,Kurta,Women
Sangria,Kurta With Palazzos & Bag,Rs. 4999,Rs. 1699,4.3,24,Kurta,Women
Royal Export,Floral Embroidered Kurta Set,Rs. 5999,Rs. 1117,4,1.3k,Kurta,Women
TextileNow,Women Embroidered Kurta Set,Rs. 5999,Rs. 1787,2.9,28,Kurta,Women
Aaghnya,Women Printed Kurta Set,Rs. 3197,Rs. 638,4.1,147,Kurta,Women
PHYSIL,Women Embroidered Kurta with Pyjamas With Dupatta,Rs. 2499,Rs. 699,3.6,883,Kurta,Women
Libas,Women Yoke Design Kurta with Trousers With Dupatta,Rs. 8599,Rs. 2699,0,0,Kurta,Women
Sangria,Kaftan & Tube Top With Sharara,Rs. 4899,Rs. 1567,4,705,Kurta,Women
PRISCA,Paisley Printed Kurta,Rs. 999,Rs. 429,4.3,1.9k,Kurta,Women
TextileNow,Kurta with Trousers & Dupatta,Rs. 4995,Rs. 1798,4.2,44,Kurta,Women
GoSriKi,Women Kurta Set,Rs. 4345,Rs. 825,3.8,6.1k,Kurta,Women
MOKOSH,Embroidered Kurta Set,Rs. 4299,Rs. 1461,4.3,455,Kurta,Women
Libas,Women Printed Kurta Set,Rs. 4299,Rs. 1349,0,0,Kurta,Women
Anouk,Women Printed Kurta with Trousers With Dupatta,Rs. 3299,Rs. 989,4.1,1.6k,Kurta,Women
Anouk,Women Floral Printed Anarkali Kurta,Rs. 3299,Rs. 923,4.3,3.9k,Kurta,Women
Gerua By Libas,Floral Yoke Design Kurta Sets,Rs. 4549,Rs. 1199,0,0,Kurta,Women
Indo Era,Women Printed Kurta,Rs. 4699,Rs. 1499,4,68,Kurta,Women
KALINI,Printed Straight Kurta Set,Rs. 3399,Rs. 781,3.8,1.3k,Kurta,Women
TextileNow,Printed Pleated A-Line Kurta,Rs. 2199,Rs. 656,4.2,145,Kurta,Women
KIMAYRA,Women Printed Kurta Set,Rs. 3599,Rs. 1399,4.1,464,Kurta,Women
KALINI,Printed Straight Kurta Set,Rs. 2799,Rs. 783,3.8,343,Kurta,Women
Libas,Women Embroidered Kurta with Palazzos With Dupatta,Rs. 4499,Rs. 1799,4.4,4.4k,Kurta,Women
Sangria,Floral Printed Kurta Set,Rs. 4999,Rs. 1599,3.6,68,Kurta,Women
Rimeline,Floral Printed Straight Kurta,Rs. 1999,Rs. 679,4.4,3.7k,Kurta,Women
Libas,Women Printed Kurta with Trousers With Dupatta,Rs. 7799,Rs. 2249,3.5,20,Kurta,Women
Indo Era,Kurta With Trousers & Dupatta,Rs. 6999,Rs. 1799,4,5.5k,Kurta,Women
SINGNI,Printed Mirrr Work Kurta Set,Rs. 6499,Rs. 779,4,3.7k,Kurta,Women
Libas,Women Kurta with Palazzos With Dupatta,Rs. 10699,Rs. 2849,4.1,22,Kurta,Women
Indo Era,Embroidered Kurta Set,Rs. 7999,Rs. 1799,4.3,8.1k,Kurta,Women
Anouk,Women Floral Embroidered Kurta,Rs. 1999,Rs. 619,4.1,125,Kurta,Women
Libas,Woven Design Regular Kurta Set,Rs. 6999,Rs. 2949,4.5,2.2k,Kurta,Women
anayna,Floral Printed Kurta Sets,Rs. 3325,Rs. 1097,4.5,647,Kurta,Women
Indo Era,Floral Printed Kurta Sets,Rs. 2999,Rs. 1799,4.1,469,Kurta,Women
VIBE VISION,Printed Straight Kurta Set,Rs. 4399,Rs. 759,3.7,60,Kurta,Women
FIORRA,Printed Cotton A-Line Kurta,Rs. 3999,Rs. 699,4.4,1.3k,Kurta,Women
GoSriKi,Women Printed Kurta Palazzos,Rs. 3197,Rs. 799,3.9,3k,Kurta,Women
Libas,Women Printed Kurta with Trousers With Dupatta,Rs. 5949,Rs. 1749,4.1,8,Kurta,Women
GoSriKi,Floral Printed Kurta Set,Rs. 3197,Rs. 799,4.3,48,Kurta,Women
MANOJAVA,Pure Cotton Printed Kurta Sets,Rs. 2900,Rs. 1489,4.1,585,Kurta,Women
Libas,Women Printed Kurta Set,Rs. 2499,Rs. 999,0,0,Kurta,Women
Khushal K,Printed Pure Cotton Kurta Set,Rs. 4399,Rs. 1231,4.4,672,Kurta,Women
House of Pataudi,Embroidered Straight Kurtas,Rs. 2622,Rs. 917,4.3,266,Kurta,Women
Libas,Women Printed Kurta with Trousers With Dupatta,Rs. 5699,Rs. 1599,3.8,99,Kurta,Women
GoSriKi,Thread Work Anarkali Kurta Set,Rs. 4345,Rs. 1098,3.2,1.5k,Kurta,Women
KALINI,Bandhani Printed Kurta Set,Rs. 5599,Rs. 1189,3.7,566,Kurta,Women
